_FIVETRAN_SYNCED,ACTIVE_IN_ACTIVE,ACTUAL_RISK_OF_THE_OBSERVATION,AOC_AS_PER_NEW_VIQ,AGE_2,AREA_OF_CONCERN,AUTHORITY,CAUSE_ANALYSIS,COUNTRY,CREW_NATIONALITY,DEFICIENCY_COUNT,DEFICIENCY_COUNT_FOR_BI,ELMER_ESTRELLA,FLEET_,IMMEDIATE_ACTION_TAKEN,IMO_NO,GROUP,INSPECTION_FROM_DATE,INSPECTION_TYPE,INSPECTOR,MARINE_MANAGER,MARINE_SUPERINTENDENT,NATIONALITY_OF_THE_CREW,NATURE_OF_DEFICIENCY,OWNER_GROUP,PERIOD,PORT_NAME,POTENTIAL_RISK_OF_THE_OBSERVATION,PSC_CATEGORY,PSC_CODE,PSC_SUB_CATEGORY,R_OWNERS,REFERENCE_CODE_1,REFERENCE_NO_,REGISTERED_OWNER_OF_THE_SHIP,REMARKS,RESIDUAL_RISK_AFTER_CA_,SHIPPALM_REF_,SUGGESTED_CORRECTIVE_ACTION,TECHNICAL_MANAGER,TECHNICAL_SUPERINTENDENT,HAND_OVER_DATE_MOD,VESSEL_NAME,VESSEL_TYPE,YARD,YEAR_BUILD,AGE_OF_VESSEL,STATUS,COLUMN_1,COLUMN_2,"""Dry/Wet""",VESSEL_TYPE_1,FLAG_STATE,ACTUAL_OWNERS,DETENTION,MANAGER_GROUP
2025-04-29T12:09:13.164Z,Active ,null,null,null,null,Tokyo MoU,null,China,null,null,1,null,null,null,9617959,null,15-06-23,PSC,"Shen Wei, CUI Yuanzhi",Vijaya Ragavan,Cyril Cyriac,Indian + Filipino ,"The isolation valve of the main foam line above Slop tank found
malfunction during inspection.",Hafnia,Q2 - 2023,Shanghai,null,Fire safety,7109,Fixed fire extinguishing installation,Hafnia Tankers Singapore Sub-Holding Pte. Ltd.,30,2023PSC030,null,null,null,null,null,Deepak Sasikumar,Justin John,01-05-25,Hafnia Libra,Tanker,Guangzhou Shipyard Intl. China,null,12,null,null,null,Wet,Tanker,Denmark,Hafnia,null,SMC
2025-04-29T12:10:33.263Z,Active,null,null,17,null,Paris MOU,null,Ireland,Indian,null,1,null,Fleet C,null,9301720,null,21-05-22,PSC,null,Damanjeet Singh Bakshi,Shailendra,null,Embarkation ladder for Fwd liferaft found fixed in storage position with shackles seized shut. Could not be moved to embarkation position.,Genco,Q2 - 2022,Belfast,null,Life saving appliances,11124,Embarkation arrangement survival craft,null,10,2022PSC057,Genco Picardy Ltd,null,null,null,null,Angarayan,Kingshook Ghose,20-07-24,Genco Picardy,Bulk Carrier,Nantong COSCO KHI Ship Engineering co,null,20.14,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.305Z,Active,null,null,null,null,Vina del Mar,null,Chile,Indian/Bangladesh/Srilanka,null,1,null,Fleet A,null,9492335,null,18-04-23,PSC,Cristian Barbieri,Glennford Gonsalves,Gurpreet Singh Mehar,null,"Propulsion and auxilary machinery/Gauges thermometers,etc Engine room the main engine fuel pressure guage and diesel generator N'3 cooling water abd cylinders temperature gauges are not readable",Genco,Q2 - 2023,Huasco,null,Water/Weathertight condition,3102,Freeboard marks,null,99,2023PSC038,Baltic Wolf Ltd,null,null,null,null,Ravikumar,Vishant Lotlikar,12-04-24,Baltic wolf,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.67,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.335Z,Active,null,null,null,NA,Vina del Mar,Nil,Argentina,Indian/Srilankan,0,0,null,Fleet B,Nil,9742651,null,21-02-24,PSC,Hernan Javier dieguez/ Jorge emanuel montenegro,Damanjeet Singh Bakshi,Prateek Tripathi,null,Nil findings,GENCO,Q1 - 2024,Zona Comun,null,0,null,0,null,null,2024PSC24,Genco Freedom Ltd,null,null,null,Nil,Sanjay Kumar Jaiswal,Kalicharan Ganguly,26-06-24,Genco Freedom,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,10.15,closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.335Z,Active,null,null,null,null,Tokyo MoU,null,Japan,Indian/Filippino,3,1,null,Fleet B,null,9557123,null,27-02-24,PSC,Fukasawa. A,Damanjeet Singh Bakshi,Prateek Tripathi,null,Treated operation (3-2) of ballast water not recorded properly. ,Genco,Q1 - 2024,Nagoya,null,Pollution Prevention – Ballast Water,14802,Ballast Water Record Book,null,17,2024PSC29,Genco Auvergne Ltd,null,null,null,null,Arunkumar,Vinoth Kumar,05-07-24,Genco Auvergne,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.46,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.252Z,Active,null,null,12,null,Mediterranean MOU,null,Israel,Chinese,null,1,null,Fleet C,null,9557123,null,20-02-22,PSC,Alexander Wietz / Jonathan Bhonkar,Damanjeet Singh Bakshi,Shailendra,null,Aux Engine N#2 inoperative T/C dismantled,Genco,Q1 - 2022,Ashdod,null,Certificates and Documentation – Document,1310,"Signs, indications",null,17,2022PSC011,Genco Auvergne Ltd,null,null,IFFR/PSC/AVRN-GSSM/2022/Feb/2,null,Angarayan,Rohit Sharma,05-07-24,Genco Auvergne,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.46,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.337Z,Active,null,null,null,null,AMSA,null,Australia,Indian/Ukranian/Srilankan,null,1,null,Fleet B,null,9422067,null,19-03-24,PSC,"Zaccheus, Tyrona Paul",Glennford Gonsalves,Prateek Tripathi,null,"Running auxiliary Engines number 1 and 2 , excessive exhaust gas leakages from 
exhaust manifold expansion joints.",Genco,Q1 - 2024,Dampier,null,Propulsion and auxiliary machinery,13199,Other (machinery),null,17,2024PSC44,Genco Hadrian Ltd,null,null,null,null,Ravikumar,Ramdoss,22-04-24,Genco Hadrian,Bulk Carrier,Sundong Ship Building and Marine Engineering. Ltd,null,16.34,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.336Z,Active,null,null,null,null,AMSA,null,Australia,Indian/Ukranian/Srilankan,7,1,null,Fleet B,null,9422067,null,19-03-24,PSC,"Zaccheus, Tyrona Paul",Glennford Gonsalves,Prateek Tripathi,null,"Low sea suction valves S1V( Overboard valve) and S3 V ( Inboard valve) seized in 
open position, unable to operate remotely or manually.",Genco,Q1 - 2024,Dampier,null,Water/Weathertight condition,3199,Other (load lines),null,30,2024PSC44,Genco Hadrian Ltd,null,null,null,null,Ravikumar,Ramdoss,22-04-24,Genco Hadrian,Bulk Carrier,Sundong Ship Building and Marine Engineering. Ltd,null,16.34,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.29Z,Active,null,null,null,NA,Vina del Mar,Nil,Philippines,Indian/Filippino,0,0,null,Fleet C,Nil,9718210,null,28-11-22,PSC,Jerome B Atilano,Damanjeet Singh Bakshi,Tejender Singh,null,Nil findings,Genco,Q4 - 2022,Villanueva,null,0,null,0,null,null,2022PSC133,Genco Defender Ltd,null,null,null,Nil,Angarayan,Kingshook Ghose,09-04-24,Genco Defender,Bulk Carrier,Hanjin Heavy Industries & Construction Co.LTD,null,9.19,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.325Z,Active,null,null,null,null,AMSA,null,Australia,Indian/Bangladeshi/Srilankan,null,1,null,Fleet A,null,9410959,null,19-10-23,PSC,"Zaccheus, Tyrone Paul",Glennford Gonsalves,Harsh Kapoor,null,Numerous cabins found with damaged /defective furnishings,Genco,Q4 - 2023,Dampier,null,"Accommodation, recreational facilities, food and catering",18308,Furnishings,null,99,2023PSC106,Genco Titus Ltd,null,null,null,null,Ravikumar,Suresh Kumar Balamohan,29-03-24,Genco Titus,Bulk Carrier,"Shangai Waigaoqiao Shipbuilding Co., Ltd.",null,17.47,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.307Z,Active,null,null,null,NA,Abuja MoU,Nil,Guinea,Indian,0,0,null,Fleet A,Nil,9410959,null,01-06-23,PSC,Sow Zakaria,Glennford Gonsalaves,Harsh Kapoor,null,Nil findings,Genco,Q2 - 2023,Kamsar,null,0,null,0,null,null,2023PSC055,Genco Titus Ltd,null,null,null,Nil,Ravikumar,Suresh Kumar Balamohan,29-03-24,Genco Titus,Bulk Carrier,"Shangai Waigaoqiao Shipbuilding Co., Ltd.",null,17.47,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:09:56.936Z,null,null,null,null,11103 Stowage and provision of lifeboats,Black Sea MOU,null,Russia,null,7,1,null,null,null,9340582,null,05-05-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,Filipino,"Stowage and provision of Lifeboats. 

Freefall lifeboat 

Cracks aft stbd. quarter.
Cracks located around and below emergency release gear.
Appr. 100-150 mm, see attached pictures.

Master instructed to examine whether the damage affects the strength of the construction of the lifeboat. He is advised to contact the manufacturer alternative
approved service company",Maersk,Q2 - 2022,Taman (Rutam),null,Life saving appliances,11103,Stowage and provision of Lifeboats,null,null,576,null,null,null,null,null,Synergy Denmark,Synergy Denmark,01-08-24,Maersk Brigit,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,19.02,null,576,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:56.932Z,null,null,null,null,10105 Magnetic compass,Paris MOU,null,United Kingdom,null,null,1,null,null,null,9581447,null,21-02-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,"Indian, Filipino",Bubble found in magnetic compass.,Maersk,Q1 - 2022,Pembroke,null,Safety of Navigation,10105,Magnetic compass,Maersk Tankers Singapore Pte. Ltd.,null,552,null,null,null,null,null,Synergy Denmark,Synergy Denmark,01-05-25,Maersk Maru,Tanker,Iwagi Zosen Co Ltd,null,13.63,null,542,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:56.932Z,null,null,null,null,15150   ISM,Paris MOU,null,United Kingdom,null,null,1,null,null,null,9581447,null,21-02-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,"Indian, Filipino","Corrective action taken on the ISM system by the Company is required within 3 months. Deficiency(s) marked ISM is (are) objective evidence of a failure, or lack of effectiveness, of the implementation of the ISM Code. The ship will be eligible for reinspection after 3 months from the final date of the report.",Maersk,Q1 - 2022,Pembroke,null,ISM,15150,ISM,Maersk Tankers Singapore Pte. Ltd.,null,552,null,null,null,null,null,Synergy Denmark,Synergy Denmark,01-05-25,Maersk Maru,Tanker,Iwagi Zosen Co Ltd,null,13.63,null,542,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:56.933Z,null,null,null,null,14607 Quality of fuel oil,Paris MOU,null,Netherlands,null,1,1,null,null,null,9786188,null,28-02-22,null,Port State Control (2018) 1st Edition (2018),Synergy Denmark,Synergy Denmark,Filipino,"OBS01: Code 14607 (Code 17) :- 
Incorrect reading of details. Procedure not followed (no time calculation change over)",China Development Bank Leasing (CDBL),Q1 - 2022,Rotterdam,null,Pollution prevention - MARPOL Annex VI,14607,Quality of fuel oil,CL Gusu Limited,null,547,null,null,null,null,null,Synergy Denmark,Synergy Denmark,01-05-25,Maersk Corsica,Tanker,"Samsung Heavy Industries Co Ltd, China  ",null,6.02,null,547,null,Wet,Tanker,Denmark,Maersk,null,SDAS
2025-04-29T12:10:33.305Z,Active,null,null,null,null,Tokyo MoU,null,China,Filippino/ Srilankan,null,1,null,Fleet B,null,9316153,null,14-04-23,PSC,Xiao Junliang Ma rutao,Damanjeet Singh Bakshi,Tejinder Singh,null,The Fire main on stbd side mian deck found leaking,Genco,Q2 - 2023,Guangzhou,null,Fire safety,7113,Fire pumps and its pipes,null,15,2023PSC035,Genco Warrior Ltd,null,null,null,null,Sanjay Jaiswal,Jayakumar,05-07-24,Genco Warrior,Bulk Carrier,Nantong COSCO KHI Ship Engineering co,null,20.33,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.315Z,Active,null,null,null,null,Paris MOU,null,Netherlands,Indian,null,1,null,Fleet B,null,9722015,null,15-08-23,PSC,Kraak,Glennford Gonsalves,Mahadev Dhandhiya,null,Found the fule filter emergency generator with a plastic part,Genco,Q3 - 2023,Rotterdam,null,Structural condition,2107,"Ballast, fuel and other tanks",null,17,2023PSC080,Baltic Wasp Ltd,null,null,null,null,Sanjay Kumar Jaiswal,Muthukumaran,16-08-24,Baltic Wasp,Bulk Carrier,Yangfan Group co Ltd China,null,10.33,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.243Z,Active,null,null,7,NA,Paris MOU,Nil,Nigeria,Indian,0,0,null,Fleet B,Nil,9722015,null,17-01-22,PSC,null,Glennford Gonsalves,Mahadev Dhandhiya,null,Nil findings,Genco,Q1 - 2022,Lagos,null,0,null,0,null,null,2022PSC005,Baltic Wasp Ltd,null,null,IFFR/PSC/AQTN-GSSM/2022/Feb/4,Nil, Sanjay Jaiswal,Vipin Ramakrishnan,16-08-24,Baltic Wasp,Bulk Carrier,Yangfan Group co Ltd China,null,10.33,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:09:31.519Z,Active,null,null,null,Ch VI/ Pollution prevention- (Cargo operation and Deck area pollution prevention),Riyadh MOU,null,UAE,null,1,null,null,null,null,9700146,Fleet A,03-01-25,PSC ,Taymour Abouomar,Ravi Sekhar ,Paurush Kumar Singh,"Indian, Vietnamese",Observed that a pipe of oil Leaking,Stamford,Q1-2025,Jebel Ali,null, ,3108, ,Stamford Shipping LLP,17,25PSC003,null,null,null,null,null,Saji Kumar,Allwyn Rodrigo,01-05-25,Zola,Bulk Carrier,Cosco Shipping Heavy Industry,null,6.84,null,null,null,Dry,Bulk Carrier,Singapore,Stamford Shipping LLP,null,SMSL
2025-04-29T12:09:31.468Z,Active,null,null,null,Ch X/ Engine & Steering Compartment- (Machinery status),Tokyo MOU,null,Philipines,null,1,2,null,null,null,9512941,Fleet C,03-05-24,PSC ,REYNOLD B CRUZ,Ravi Sekhar ,Neeraj Arya,"Philipines, Chinese ","Engine Room, Boiler Hot Water Circulating Pump Leaking",Winking,Q2-2024,Bataan,null,NA ,0,NA ,Four Land (Panama) S.A. ,NA ,24PSC047,null,null,null,null,null,Saji Kumar,Anilkumar,01-05-25,Global Bonanza,Bulk Carrier,SASEBO HEAVY INDUSTRIES,null,14.28,null,null,null,Dry,Bulk Carrier,Panama,Winking Shipping Ltd,null,SMSL
2025-04-29T12:09:30.953Z,Inactive,null,null,null,NA,Acuerdo de Vina del Mar Agreement,NA,Brazil,null,0,0,null,null,NA,9747302,Fleet A,02-04-24,PSC ,Amarilla,Ravi Sekhar ,Paurush Kumar Singh,"Indian, Filipino",NA ,Sumec,Q2-2024,Santos,null,NA ,11117,NA ,Tianjin Haitang-II Leasing Limited,17,24PSC035,null,null,null,null,NA,Umesh Iyengar,Ning Fangcun,29-05-24,CL Lianyungang,Bulk Carrier,Yangzhou Dayang Shipbuilding Company Limited,null,6.79,null,null,null,Dry,Bulk Carrier,Liberia,Sumec Ocean Transportation Pte Ltd,null,SMSL
2025-04-29T12:09:30.915Z,Active,null,null,null,Ch XI/ General App & Condition- (Electrical equipment),Paris MOU,Few Breakers were switched off for fault finding of Low insulation  alarm and later upon switching on the Breakers few Tube light fixture at few locations did not glow due to faulty starters.,United Kingdom,null,2,1,null,null,"Starters were replaced immediately for the Tube-light Fixtures in front of 
PSCO",9317559,Fleet C,08-12-23,PSC ,"Michele More, James Steer",Ravi Sekhar ,Paurush Kumar Singh,"Indian, Filipino",Electrical -Various light fixtures found not working in various areas,Cobelfret,Q4 - 2023,Port Talbot,null,NA ,0,NA ,Cobelfret Pte. Ltd.,NA ,23PSC154,null,null,null,null,null,Umesh Iyengar,Ning Fangcun,17-05-24,LowLands Opal,Bulk Carrier,OSHIMA SHIPBUILDING CO LTD,null,17.49,null,null,null,Dry,Bulk Carrier,Singapore,CLDN Cobelfret Pte Ltd,null,SMSL
2025-04-29T12:09:30.538Z,Active ,null,null,null,NA,Paris MOU,NA,Belgium,null,0,0,null,null,NA,9786841,Fleet B,27-10-23,PSC ,null,Ravi Sekhar ,Navdeep Singh Bhalla,Indian,NA,Nissen ,Q4 - 2023,Antwerp (Antwerpen),null,0,NA,0,"Green Spanker Shipping
Asian Shipping S.A.
Seiun Shipping S.A.
Grace Hawk Shipping S.A.",NA,23PSC132,null,null,null,null,NA,Rajesh Inigo,Karthick Nair,01-05-25,Ever Globe,Container,"Imabari Shipyard Saijo,Japan",null,5.64,null,null,null,Dry,Container,Panama,NISSEN Kaiun KK,null,SMSL
2025-04-29T12:09:56.963Z,null,null,null,null,null,Tokyo MOU,null,Philippines,null,0,0,null,null,null,9718076,null,25-11-22,null,Port State Control (2018) 1st Edition (2018),null,null,null,Nil findings,Maersk,Q4 - 2022,Subic Bay,null,null,null,null,null,null,630,null,null,null,null,null,null,null,01-05-25,Maersk Tokyo,Tanker,"Sungdong Shipbuilding & Marine Engg Co Ltd, Tongyeong, South Korea.",null,8.84,null,638,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:56.979Z,null,null,null,null,null,Paris MOU,null,United Kingdom,null,null,1,null,null,null,9256298,null,24-08-23,null,null,null,null,null,"Two number lifebuoys colours faded, retro reflective tape worn/perished.",null,Q3 - 2023,Isle of Grain,null,null,null,null,null,17,686,null,null,null,null,null,null,null,31-01-24,Maersk Kalea,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,21.21,null,693,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:51.285Z,null,null,null,null,null,Riyadh MoU,"Immediate Cause:
• Maintenance work was carried out on the L.O. and F.O. section pumps, but residual oil and 
cleaning were not adequately addressed post-maintenance.
Root Cause:
• The cleaning of affected areas was not performed immediately after maintenance, leaving 
visible traces of oil.
• Insufficient oversight to ensure that the work area was restored to a clean state following 
maintenance.",Saudi Arabia,null,null,1,null,null,"Corrective Actions:
• Cleaned the purifier room, specifically the areas around the L.O. and F.O. section pumps, to 
remove all oil traces.
• Conducted a thorough inspection to ensure no active leaks were present post-maintenance.
• Verified the functionality of the L.O. and F.O. section pumps to confirm no further issues.",9489065,null,14-11-24,PSC,Abdul Razaq,Capt. Vibhor Mittal,Capt. Vikrant SIngh,Indian,"L.O., F.O., section pumps, inside purifier room leakage",United Overseas Management,Q4 - 2024,Al Jubail,null,Fire safety,7199,Other (fire safety),ATNY Masafi LLC,17,SNPL2024PSC174,null,null,null,null,"Preventive Actions:
• Conducted training sessions for the engineering team on the importance of cleaning and 
maintaining work areas after maintenance to ensure compliance operators standards.
• Observation circulated to all vessels for information sharing and learning.
",Bhooshan Gupte,Abhilash Jha,01-05-25,UOG Lamyra,Tanker,Shina SB Shipyard CO@Tongyoung South Korea,null,12.7,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:51.283Z,null,null,null,null,NA,USCG,NA,United States of America,null,0,0,null,null,NA,9814167,null,12-11-24,PSC,Travis Conneck,Capt. Ashutosh Manoli,Capt. Pushpendra Kumar Jha,Indian,Nil findings,NISSEN Kaiun KK,Q4 - 2024,Houston,null,NA,Na,NA,Sun Lanes Shipping S.A.,NA,SNPL2024PSC173,null,null,null,null,NA,Manas Ray,Vidyadhar Vaidya,01-05-25,Nord Jewel,Tanker,Maizuru Shipyard,null,6.67,null,null,null,Wet,Tanker,Panama,NISSEN Kaiun KK,null,SNPL
2025-04-29T12:09:51.283Z,null,null,null,null,null,Paris MoU,null,Netherlands,null,null,1,null,null,null,9340477,null,31-10-24,PSC,Willem Van Schothorst,Capt. Ashutosh Manoli,Capt. Velan D'Costa,Indian,The sight glass installed in the recirculating facilities of the oily water separator (MEPC 107(49)) is not transparent. Unable to check if flow is stopped when three-way valve is activated.,Tufton Asset Management,Q4 - 2024,Rotterdam,null,Pollution Prevention - MARPOL Annex I,14104,Oil filtering equipment,Orson Limited,17,SNPL2024PSC166,null,null,null,null,null,Mahesh Kulkarni ,Chandan Choudhary,01-05-25,Octonaut,Tanker,Usuki Shipyard Co. Ltd. ,null,19.85,null,null,null,Wet,Tanker,Marshall Islands,Tufton Asset Management,null,SNPL
2025-04-29T12:09:51.242Z,null,null,null,null,NA,Vina del Mar,NA,Argentina,null,0,0,null,null,NA,9458834,null,21-07-24,PSC,Burno Scetta,Capt.Vibhor Mittal,Capt. Ryan Falleiro,Indian,Nil findings,United Overseas Management,Q3 - 2024,San Lorenzo,null,NA,NA,NA,United Overseas Management,NA,SNPL2024PSC113,null,null,null,null,NA,Asish Sanyal,Deepak Goyal,01-05-25,UACC Riyadh,Tanker,"SLS SHIPBUILDING CO., LTD.- Tong Yeong, South Korea",null,14.34,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:51.236Z,null,null,null,null,NA,Paris MoU,NA,Belgium,null,null,1,null,null,NA,9458808,null,19-06-24,PSC,Alexis Joukes,Capt. Vibhor Mittal,Capt. Vikrant Singh,"Indian, Ukraine",Toilet near cargo control room found with heavy smell. Toilet in hospital not flushing.,United Overseas Management,Q2 - 2024,Antwerp,null,"Accommodation, recreational facilities, food and catering",18302,Sanitary facilities,United Overseas Management,17,SNPL2024PSC096,null,null,null,null,NA,Asish Sanyal,Deepak Goyal,01-05-25,NCC Yanbu,Tanker,"SLS SHIPBUILDING CO., LTD.- Tong Yeong, South Korea",null,15.13,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:51.187Z,null,null,null,null,NA,Transport Canada,NA,Canada,null,null,1,null,null,NA,9458822,null,06-05-24,PSC,Zroud Hicham,Capt.Vibhor Mittal,Capt. Vikrant Singh,"Indian, Romanian, Venezuelan",Meat room is out of service due to a malfunctioning temperature controller.,United Overseas Management,Q2 - 2024,Montreal,null,"Accommodation, recreational facilities, food and catering",18324,"Cold room, cold room cleanliness, cold room temperature",United Overseas Management,48,SNPL2024PSC068,null,null,null,null,NA,Asish Sanyal,Pankaj Singh,01-05-25,UACC Manama,Tanker,"SLS SHIPBUILDING CO., LTD.- Tong Yeong, South Korea",null,14.59,null,null,null,Wet,Tanker,Marshall Islands,United Overseas Management,null,SNPL
2025-04-29T12:09:30.361Z,Inactive,null,null,null,Ch II/Certification and Documentation- (Survey & Repair History),Paris MOU,Intermediate Survey(ESP) date range is from 31APR2022 valid until 30OCT2022. Thickness gauging as part of ESP survey was planned at Rotterdam along with IWS.,Belgium,null,null,1,null,null,null,9691577,Fleet A,09-08-22,PSC,Yves De Muynck & Claus Heyvaerts,Ajith Kumar,Paurush Kumar Singh,Filipino,ESP- Mandatory surveys for maintaining ESP notation not carried out on time.,OMCS,Q3 - 2022,Gent,null,Structural condition,2119,Enhanced survey programme (ESP),OMC Shipping Pte Ltd.,30,22PSC085,null,null,null,null,Class NK to carry out the inspection at Ghent on 09/08/2022.,Saji Kumar,Anish Balakrishnan,31-08-22,Bulk Finland,Bulk Carrier,IMABARI SHIPBUILDING CO LTD,null,10.84,null,null,null,Dry,Bulk Carrier,Singapore,OMC Shipping Pte Ltd,null,SMSL
2025-04-29T12:09:30.499Z,Active,null,null,null,"Ch IV/Navigation- (Policy, Procedures &Documentation)",Paris MOU,null,Singapore,null,null,1,null,null,null,9747948,Fleet D,17-03-23,PSC,Capt.Efren G.Burgos,Anand NR,Neeraj Arya,"Filipino, Ukraine",Nautical Publications,Navios ,Q1 - 2023,Gdansk,null,,null,,"Okino Kaiun Co., Ltd/ Lua Line S.A",17,23PSC036,null,null,null,null,null,Raju Kalidindi,Raju Kalidindi,15-05-24,Navios Corali,Bulk Carrier,Imbari Shipbuilding Co. Ltd,null,9.59,null,null,null,Dry,Bulk Carrier,Panama,Navios,null,SMSL
2025-04-29T12:09:50.734Z, , , ,null,NA,Paris MOU,NA,Portugal,null,0,0,null,null,NA,9746164,null,18-05-22,PSC,Jose Maciel,Vinod Nair,Deepak Kumar,Indian,Nil findings,Fairfield Maritime Pte Ltd,Q2 - 2022,"Aveiro, Portugal", ,0,NA,NA,Eurus Maritime SA,NA,SNPL2022PSC040,null,null, ,null,NA,Manas Ray,Abhishek Aul,01-05-25,Cutlass Galaxy,Tanker,Fokuoka Shipbuilding Co. Ltd,null,9.39,null,null,null,Wet,Tanker,Marshall Islands,Fairfield Chemical Carriers,null,SNPL
2025-04-29T12:09:50.789Z, , , ,null,NA,Tokyo MoU,NA,Indonesia,null,0,0,null,null,NA,9860207, ,24-11-22,PSC,Putra Delmonot,Vinod P Nair,Deepak Kumar,Indian,Nil findings,NISSEN Kaiun KK,Q4 - 2022,Padang, ,0,NA,NA,Singa Star Pte. Ltd,NA,SNPL2022PSC104,null,null, ,null,NA,Manas Ray,Santhosh Kulkarni,01-05-25,Honor Galaxy,Tanker,Asakawa Shipbuilding,null,5.62,null,null,null,Wet,Tanker,Singapore,Singastar Pte Ltd,null,SNPL
2025-04-29T12:09:30.446Z,Inactive,null,null,null,NA,USCG,NA,United States of America,null,0,0,null,null,NA,9317559,Fleet E,20-09-22,PSC,Jeremy wine MSTC,Ajith Kumar,Neeraj Arya,"Indian, Filipino",NA,Cobelfret,Q3 - 2022,Savannah,null,,null,,Cobelfret Pte. Ltd.,NA,22PSC100,null,null,null,null,NA,Saji Kumar,Guna Sundar,17-05-24,LowLands Opal,Bulk Carrier,OSHIMA SHIPBUILDING CO LTD,null,17.49,null,null,null,Dry,Bulk Carrier,Singapore,CLDN Cobelfret Pte Ltd,null,SMSL
2025-04-29T12:09:30.449Z,Inactive,null,null,null,NA,AMSA,NA,Australia,null,0,0,null,null,NA,9748784,Fleet A,07-12-22,PSC ,"vishv, Vidzhay",Anand NR,Shi li Qiang,Filipino & Rumanian,NA,SDTR ,Q4 - 2022,Geraldton,null,0,NA,0,Sea 272 Leasing Co Ltd,NA,22PSC130,null,null,null,null,NA,Saji Kumar,Anish Balakrishnan,18-06-24,Shandong Fu Ren,Bulk Carrier,"Jiangsu Jinling Shipyard Co., Ltd, China",null,6.5,null,null,null,Dry,Bulk Carrier,Hong Kong,SDTR Marine Pte Ltd,null,SMSL
2025-04-29T12:09:50.792Z,null,null,null,null,NA,Riyadh MOU,NA,Qatar,null,0,0,null,null,NA,9814155,null,05-03-23,PSC,Irfan Ahmed,Yazad Boomla,Amit Kumar,Indian,Nil findings,EIKO Kisen Co Ltd,Q1 - 2023,Meesaid,null,0,NA,NA,Grace hawk Shipping S.A,NA,SNPL2023PSC025,null,null,null,null,NA,Manas Ray,Naren Joshi,07-04-25,High Leader,Tanker,Maizuru Shipyard,null,6.84,null,null,null,Wet,Tanker,Panama,EIKO Kisen Co Ltd,null,SNPL
2025-04-29T12:09:30.452Z,Inactive,null,null,null,NA,Riyadh MOU,NA,Saudi Arabia,null,0,0,null,null,NA,9290488,Fleet B,21-01-23,PSC,Capt.yousee.Q,Chetan Sharma,Navdeep Singh Bhalla,"Indian, Filipino",NA,Sinokor,Q1 - 2023,King Abdul Aziz,null,0,NA,0,GMF SNK NO.1 S.A.,NA,23PSC010,null,null,null,null,NA,Rajesh Inigo,Yogananth,23-02-23,Baltic Bridge,Container,"HYUNDAI HEAVY INDUSTRIES CO., LTD",null,19.85,null,null,null,Dry,Container,Marshall Islands,Sinokor,null,SMSL
