Code,Title,Description,Severity,Classification
03106,"Windows, side scuttles and deadlights","All portholes and windows below the freeboard deck (or in weather-exposed areas) must be intact and have deadlights (storm covers) that can be closed. If bridge windows or accommodation portholes are broken or their deadlights can’t be closed, big waves could smash in and flood compartments or disable the bridge. PSC will definitely detain a ship if bridge windows are shattered or missing in heavy weather season. If it’s a minor crack, they might allow temporary fixes but still a deficiency. We rate 6 overall; can escalate to higher if it’s a gaping hole situation (which would be detainable for sure).",6,Equipment
03107,Doors,"Weather-tight doors in superstructures or deckhouses (e.g., exterior doors to accommodations, stores, forecastle) must seal when closed. If an external door is warped or its gasket missing, green sea can enter (e.g., many fishermen have been lost due to an open door to engine room). PSC checks a sample of external doors – a door that cannot be dogged tight is a significant hazard. They’ll typically detain until fixed or restrict operations (like not sailing in rough weather​fma.fo】. For instance, a broken bow visor door on a ro-ro would be detention (as after the Estonia sinking). Score 7.",7,Equipment
03108,"Ventilators, air pipes, casings","Ventilators and air pipes (for tanks, engine room, etc.) extend above deck and have closing devices (canvas sleeves or automatic float caps) to prevent water ingress. If vents are damaged or their closures inoperable, seawater can down-flood into compartments in heavy seas – a known cause of engine room floodin​parismou.org】. PSC often finds wasted air pipe heads or broken closing flaps and considers it serious (detainable if it directly threatens watertightness of a main compartment). They will require immediate repairs or temporary seals. High moderate severity.",7,Equipment
03109,Machinery space openings,"Openings like engine room skylights, funnel uptakes, and emergency exits on deck must be weathertight or at least have coamings per Load Line rules. If they can’t be closed (e.g., a skylight that won’t shut), engine room could flood in a storm, leading to loss of power and possibly sinking. PSC treats non-closing machinery space openings as very serious – likely detention until rectified. E.g., an unsecured funnel door or missing gasket on skylight = major risk. Score 7.",7,Equipment
03110,Manholes / flush scuttles,"Flush deck manhole covers and small scuttles need proper gaskets and bolts tightened. If a manhole on deck is not secured or its seal is bad, sea water can leak directly into tanks/holds. It’s a frequent minor deficiency (sometimes crew leave manhole covers loose after inspection). PSC will require them properly bolted before sailing. It’s moderately severe depending on what it leads to – usually easily fixed on the spot by tightening down.",6,Equipment
03111,Cargo ports and other similar openings,"Side shell openings like shell doors, bunker doors, and cargo side-ports must close watertight. A failure or gap in these is extremely dangerous (waterline openings). The Herald of Free Enterprise disaster (open bow door) is a prime example. PSC will detain ships if a side shell door cannot be dogged or is found open at sea. Score 7 – even if the opening is high above water in calm conditions, weather can change. For anything near waterline, it’s likely a 10 (immediate detention) if not secure.",7,Equipment
03112,"Scuppers, inlets and discharges","Hull valves for scuppers (deck drains), sea inlets, and overboard discharges must be operational and non-leaking. If a sea inlet valve is stuck open or a discharge can’t be closed, it’s a potential uncontrolled flooding poin​parismou.org】. PSC often checks engine room sea chest valves; a seized or leaking overboard valve is detainable because if connected piping fails, you can’t stop water ingress. Score 7 – basically any through-hull that isn’t secure is high risk.",7,Equipment
03113,Bulwarks and freeing ports,"Bulwarks protect the deck; freeing ports are openings in bulwarks to let shipped water drain off deck quickly. If freeing ports are blocked (e.g., by cargo, or rusted shut) or too few, water can accumulate on deck, causing stability loss (free surface effect) and potential deck immersion. PSC will ensure freeing ports on cargo decks are clear – a common deficiency is “freeing port shutters seized”. They’ll require immediate clearing (it’s easy usually). Significant in heavy weather but straightforward to fix, so moderate severity.",5,Equipment
03114,"Stowage incl. uprights, lashing, etc (timber)","Carriage of timber deck cargo has special requirements (timber uprights, steel wire lashings, etc., to essentially turn the timber into a solid block). Improperly secured timber dramatically raises capsizing risk (due to shift or loss of buoyancy when wet). PSC in timber trades (Canada, Baltic) will detain a ship if timber deck cargo isn’t secured per the Timber Code – many fatal accidents historically from shifted timber. So if a ship has timber on deck and lashings/uprights are deficient, high severity (likely detention to re-stow/lash properly). If no timber cargo at the time, they may just note deficiency. We score 6 overall, but when applicable with cargo, it’s effectively a 9 in context.",6,Equipment
03199,Other (load lines),"Any other deficiency affecting water/weather-tight integrity not specifically listed. It could range from small (like a vent pipe without a cover) to large (improper hatch securing mechanism). By default moderate severity, but actual impact depends on the item. PSC will evaluate its effect on seaworthiness – significant items here would be treated like the similar listed items.",6,Equipment
00004,Emergency Systems,,,Equipment
04101,Public address system,"(SOLAS III) On passenger ships (and many cargo ships), the PA system is used to give emergency announcements. If it fails, crew and passengers might not get vital instructions during a fire or muster. On a passenger vessel, that is serious – crowd management relies on it. PSC would require immediate fix (redundancy is hard; they might employ handheld loudhailers as temp measure). We score 6 (important on pax ships; minimal impact on small cargo vessels).",6,Equipment
04102,Emergency fire pump and its pipes,"(SOLAS II-2) The emergency fire pump is a backup that provides firefighting water if the main pumps fail (e.g., due to engine room fire). PSC commonly tests this pump during drills, and it is a frequent detainable item – a non-working emergency fire pump means the ship can’t fight a fire if main power is los​safety4sea.com】. Many detentions (and even banning orders) have resulted from repeat failure of fire pumps. This is top severity: PSC typically detains the ship until the fire pump is operational because without it, a fire at sea could rage uncontrolled.",10,Equipment
04103,"Emergency lighting, batteries and switches","(SOLAS II-1/III) Emergency lighting (with battery backup) illuminates escape routes, muster stations, and essential equipment when main power fails. Deficiencies (e.g., many emergency lights not working or batteries not holding charge) are very commo​safety4sea.com】. It’s detainable if extensive – imagine a nighttime evacuation in darkness. PSC often checks emergency lighting during drills; if it fails, they will insist on immediate repairs. We score 8 – critical for safe evacuation and firefighting. (This is reportedly one of the most common deficiency codes globally, highlighting maintenance issues, though not always detainable unless a large portion is out).",8,Equipment
04104,Low level lighting in corridors,"(SOLAS II-2) Passenger ships have low-level (floor) lighting or photoluminescent strips along escape routes. If these are missing or not glowing (not “charged”), it’s a safety issue but with redundancy (there’s also emergency lighting above). PSC will note it and require correction (replace faulty strips, etc.). It’s moderate severity: important for guiding people if smoke obscures overhead lights, but failure doesn’t completely black out the route if other lights work.",5,Equipment
04105,Location of emergency installations,"This likely refers to the IMO symbolic labels/signs showing location of emergency equipment (fire extinguishers, hydrants, shutdowns, etc.). If signs are missing or faded, responders could lose precious time searching. It’s a minor issue to fix (put proper stickers) but aids crew and shore firefighters. PSC will require proper signage – low severity alone.",4,Equipment
04106,Emergency steering position communications/ compass reading,"(SOLAS V) If the ship must steer from the emergency steering station (local steering gear room), there must be a way to communicate with the bridge and know the ship’s heading (a rudder angle indicator and a compass repeater or talk-back for helm orders). If those communications fail (for example, sound-powered phone to steering flat is broken, or no compass indicator aft), in a scenario where bridge control is lost, the crew in the steering gear room won’t know what heading the ship is on or when to turn – a dangerous situation. PSC will test communication to emergency steering during drills. Failure is a serious deficiency – they might not detain if they implement a manual workaround (like handheld radios), but it’s risky. We give 6.",6,Equipment
04107,Emergency towing arrangements and procedures,"(SOLAS II-1 & MARPOL I) Tankers must have emergency towing arrangements at bow and stern, and all ships should have a procedure for being towed if disabled. If these aren’t in place (no ready towing bridle, or crew not familiar), a drifting ship in distress is harder to assist, risking grounding. It’s an important contingency; PSC will check on tankers especially. Likely moderate – they’ll want the equipment and plan in place (e.g., on tankers, strongpoints and towing pennants must be pre-rigged). Not typically detainable unless imminent need, but definitely noted.",5,Equipment
04108,Muster list,"(SOLAS III) The muster list (station bill) details each crew member’s emergency duties and must be posted. If it’s missing or outdated, crew might be confused during an emergency – who goes to fire team, who lowers lifeboats, etc. PSC nearly always checks this document. If incorrect or not posted, it’s a deficiency to fix immediately (captain can draw one up on the spot). Not usually a cause for detention by itself (easy to rectify), but significant for compliance.",5,Equipment
04109,Fire drills,"(SOLAS Chapter III/MSC Circ.) PSC often requires a fire drill during inspection. If the crew’s performance is poor (e.g., they don’t know how to start fire pump, or don’t don breathing apparatus correctly), PSC will issue a deficiency and can detain the ship for ISM failures because untrained crew in fire response is extremely dangerou​safety4sea.com】. Many detentions include “crew not proficient in fire drill” as an ISM-related ground. This is scored 7 – it reflects on training; if severely lacking, it escalates to 9 or 10 as an ISM detention (since inability to fight fire threatens the ship).",7,Equipment
04110,Abandon ship drills,"Similar to fire drills, but evaluating lifeboat/liferaft evacuation. If PSC observes chaos during an abandon ship drill (crew unable to launch lifeboat, passengers not directed, etc.), it’s a major indicator of poor training. They will detain under ISM if they judge the crew cannot safely evacuate in an emergency. For instance, if engine crew can’t start the lifeboat engine or boat hooks can’t release, detention is likely until resolved. Score 7, with same caveat: if extremely bad, it contributes to an ISM detention.",7,Equipment
04111,Damage control plan,"(Duplicate of 02102 but listed again – possibly for verifying it’s readily accessible to crew). As noted, missing damage control plan is moderate. Perhaps here PSC wants to see crew familiarity with it. If crew doesn’t even know of it, they might cite training issues too.",5,Equipment
04112,Shipboard Marine Pollution emergency operations,"(MARPOL I & II) Oil tankers and ships >400 GT must have a SOPEP (for oil spills); NLS carriers need SMPEP. If missing, crew might not know how to respond to a spill, whom to notify, etc. PSC treats absence of SOPEP seriously (it’s a clear MARPOL violation). They might detain a tanker in port until it obtains one because an oil spill without a plan could be chaotic. Score ~6 (documentation, but vital during pollution emergencies and required by law; e.g., USCG detains vessels without SOPEP).",6,Equipment
04113,Water level indicator,"Could refer to an emergency water level indicator in the engine room (to detect flooding) or for passenger ships with large open spaces. For example, SOLAS required passenger ships to have bilge level alarms in machinery spaces post-Costa Concordia. If such an indicator is required and not working, flooding might go unnoticed until too late. Particularly on UMS ships at night, an engine room bilge alarm failure is grave – the vessel could flood without anyone knowin​safety4sea.com】. PSC would likely detain until bilge alarms fixed. Score 8.",8,Equipment
04114,Emergency source of power - Emergency generator,"(SOLAS II-1) The emergency generator (E/G) provides electricity for lighting, communications, fire pump, etc., when main power is lost. PSC often lists a nonfunctional emergency generator as a detainable deficienc​safety4sea.com】. A vessel that plunges into darkness during a blackout cannot launch boats or fight fires effectively – a life-threatening situation. This is about as severe as it gets for emergency readiness. PSC will detain the ship until the emergency generator works (or exceptionally allow one voyage in calm conditions with portable emergency power if absolutely needed, but that’s rare).",10,Equipment
04115,Safe areas,"After recent cruise ship incidents, regulations require designated “safe areas” on passenger ships (with shelter, food, communication) for passengers if they must muster for extended periods. If these arrangements (including ventilation, sanitary, etc.) are not as per requirements, it’s a deficiency in crisis management capability. It’s not immediately life-threatening unless an incident occurs, but it’s an MLC/comfort and safety compliance issue. PSC will note and require rectification (esp. on large passenger ships). Moderate severity.",6,Equipment
04116,Means of communication between safety centre and other control stations,"On large passenger ships, there is often a central safety command post (for coordinating firefighting and damage control) separate from the bridge. There must be reliable communication (phones or talk-back) between this centre and places like the bridge, engine control, etc. If those comms are faulty, emergency coordination could break down – e.g., the bridge might not know what firefighting teams in machinery spaces are doing. On a cruise ship, PSC would take that seriously (but often an internal issue to fix). Moderate-high severity (because in a big emergency, lapses in communication can cost lives).",6,Equipment
04117,Functionality of Safety Systems,"This is broad, possibly used when a test of an integrated safety system fails. For example, a “master alarm” system that should show fire zones might be inoperative, or remote emergency shutdowns for fuel didn’t activate during drill. If PSC notes that an entire safety system (like fixed CO₂ or fire detection network) did not function as designed when tested, they will consider detaining the ship. Essentially, multiple safety sub-systems failing points to ISM failure. High severity – needs immediate correction under class/ISM oversight.",8,Equipment
04118,Enclosed space entry and rescue drills,"(SOLAS III) Now mandatory: crew must drill enclosed space rescue (entry with SCBA) every few months. If PSC asks and finds the ship hasn’t been conducting these drills or crew are clueless about rescuing someone from a tank, they will record a deficiency. Given many fatalities in tanks due to improper rescue attempts, this is quite important. They might not detain on the spot if they quickly do a satisfactory drill after guidance, but it flags training shortfalls. Moderate severity, trending higher since regulators focus on it (Paris MoU had a CIC on enclosed space entry).",6,Equipment
00005,Radio communication,,,Equipment
05101,Distress messages: obligations and procedures,"This likely refers to the GMDSS distress alerting procedure and obligations to respond to distress alerts. If PSC questions the radio officer and they are ignorant of distress procedures, or required “Radio Operational” info (like the Muster List’s radio duties) isn’t present, it’s an operational training issue. They may cite ISM if officers don’t know how to send a distress (Mayday) or about obligation to relay/answe​myseatime.com】. Score 6 – important for emergency response; reflect training deficiency.",6,Equipment
05102,Functional requirements,"GMDSS equipment must meet functional requirements for the ship’s Sea Area (A1, A2, A3, A4). For example, a vessel in A3 should have MF/HF DSC or satellite, etc. If a ship lacks any one of those functions (e.g., no MF/HF and not Inmarsat-equipped going into A3), it cannot meet distress communication requirements – a detainable breach. Score 7 – likely detention or restriction to sea area where equipment on board is sufficient.",7,Equipment
05103,Main installation,"The main GMDSS radio installation (combination of equipment) must be working. If, say, the primary MF/HF transceiver is completely dead and the ship relies only on a backup or nothing for long-range, that’s severe. PSC will possibly detain unless voyage is only in A1 (coastal VHF range). High moderate severity – long-range distress capability is compromised.",7,Equipment
05104,MF radio installation,"If required (Sea Area A2 or A3), the Medium Frequency radio (with DSC) must work. If it’s inoperative but the ship has an alternate means (Inmarsat C can cover some functions), PSC might allow interim sailing in A3 (satellite range) but not in purely A2 (because then you have no medium-range coverage). It’s significant but partial redundancy via HF or sat might exist. Score 6.",6,Equipment
05105,MF/HF radio installation,"For A3 ships, the combined MF/HF DSC radio is crucial if outside Inmarsat coverage or as backup. If down, but the ship has Inmarsat C still working, they have distress capability except maybe no direct HF DSC – still serious. If in A4 (polar), HF is primary – absolutely critical; an HF failure in polar region is detainable as they’d have no other way. So severity can range; average 7. PSC will likely detain or restrict to areas with coverage of what’s working.",7,Equipment
05106,INMARSAT ship earth station,"If the ship relies on Inmarsat C for distress in A3 and it’s not working, then it must rely on MF/HF. Many ships no longer carry duplicate MF/HF sets if Inmarsat is main. Thus, no Inmarsat = probably no GMDSS beyond A2 range. PSC will detain in that case or restrict to coastal voyages until fixed. Score 7.",7,Equipment
05107,Maintenance / duplication of equipment,"GMDSS requires either duplication of certain radio equipment or a shore maintenance contract or onboard maintenance capability. If the vessel hasn’t arranged the chosen maintenance option (e.g., no shore contact and no duplicates or no radio maintainer onboard), it’s a compliance gap. It doesn’t immediately stop communications but means if something breaks, they’re not covered. PSC will note it – moderate severity, but they might not detain if all gear is currently operational; they’ll insist the deficiency be rectified (e.g., get a shore maintenance contract) before it breaks.",5,Equipment
05108,Performance standards for radio equipment,"This suggests the equipment on board might not meet IMO performance standards or not be type-approved (e.g., using non-marine VHF sets). If PSC discovers non-approved gear, they’ll require replacement but probably not detain if it’s functioning (unless it clearly malfunctions). Low-moderate severity – a regulatory compliance issue more than an immediate safety one, unless substandard gear fails at a critical moment.",4,Equipment
05109,VHF radio installation,"At least two VHFs (one portable) are required. If the fixed VHF DSC radio on bridge isn’t working, it’s serious as that’s used for short-range distress and routine port communications. But usually portables can cover for voice (not DSC). PSC will definitely require a functioning VHF before departure (most likely repair same port – easy fix usually). This is a frequent deficiency but also frequently fixed on the spot. Score 6 – vital for collision avoidance and local SAR.",6,Equipment
05110,Facilities for reception of marine safety information,"Ships must be able to receive MSI (navigational and weather warnings) via NAVTEX (coastal) and/or SafetyNET (Inmarsat) depending on area. If the NAVTEX receiver is broken and the ship sails through areas where NAVTEX is primary (A2 areas), they might miss storm or nav warnings – hazardous. PSC will want it fixed. If Inmarsat SafetyNET covers the area, they have redundancy. Still, moderate severity as missing MSI can indirectly lead to accidents (like missing a gale warning).",6,Equipment
05111,Satellite EPIRB 406MHz / 1.6 GHz,"(SOLAS IV) The EPIRB is arguably the most crucial distress beacon – if the ship sinks, it automatically sends a distress signal via satellite. If the 406 MHz EPIRB is not onboard or not functioning (battery expired, self-test fails), that is a major distress alerting deficiency. PSC will detain the ship until the EPIRB is fixed or replaced, no exceptions, because without it a sinking might not be promptly detecte​tokyo-mou.org】. Score 9 – critical for saving lives in abandonment (some might even say 10; practically, it’s an urgent fix typically done in port by replacing the unit or battery).",9,Equipment
05112,VHF EPIRB,"Older term – 121.5 MHz EPIRBs were phased out for satellite alerting (now 121.5 is just a homing signal frequency for search aircraft). Modern EPIRBs have 406 + 121.5 MHz. If an old “VHF EPIRB” is referenced, it might mean an old emergency beacon that’s no longer recognized by satellites. If the ship hasn’t upgraded, PSC will note it – but since 2009, 121.5-only beacons are obsolete for satellites. So this is low severity now (the key is 406 EPIRB above).",3,Equipment
05113,SART/AIS-SART,"(SOLAS III) Ships must carry Search and Rescue Transponders (radar-SART or AIS-SART) – typically 2 on >500 GT. If SARTs are missing or not working, survivors in liferafts can’t signal rescuers effectively. PSC in a lifeboat drill often asks crew to activate SART. A non-functional or absent SART is a detainable deficiency if not corrected (they typically require buying or fixing it in port). Score 8 – crucial for locating liferafts in a rescue.",8,Equipment
05114,Reserve source of energy,"(SOLAS IV) GMDSS equipment must have a backup power source (usually dedicated batteries) to run radios for at least 1 hour in distress after mains failure. If these batteries are missing, dead or cannot hold charge (common deficiency if tests show voltage drop), the ship could lose all communications in a blackout – a very dangerous scenario. PSC treats bad radio batteries as a serious issue – they often detain until batteries are replaced because it directly affects ability to call for help in an emergency. Score 8.",8,Equipment
05115,Radio log (diary),"The radio logbook is required to record GMDSS tests, incidents, and significant radio communications. If not maintained, it’s a procedural lapse. PSC will note it but it’s minor – though it can hint at overall lax radio watchkeeping (for example, no weekly EPIRB/GMDSS test entries might cause them to scrutinize equipment readiness). Low severity itself.",2,Equipment
05116,Operation/maintenance,"This is broad, possibly meaning the crew’s ability to operate and maintain GMDSS properly. If PSC finds, e.g., the officers don’t know how to do a DSC test or haven’t done routine maintenance (no recent battery specific gravity checks, etc.), they may issue an ISM-related deficiency. It reflects training and SMS issues. Score ~5 – if gear still works, it’s moderate, but it could escalate if evidence of neglect (like corroded antenna, etc.).",5,Equipment
05118,Operation of GMDSS equipment,"(No 05117 listed; 05118 likely covers use of equipment in an actual scenario). If PSC observes the crew during a drill and they cannot properly send a distress alert or use GMDSS functions, it’s a serious failing. They might cite this to indicate that in an emergency, the crew might not be able to communicate – an ISM issue. They would likely detain for crew re-training or require a dedicated GMDSS operator. Score 7 – safety of life at sea depends on proficient use of distress equipment.",7,Equipment
05199,Other (radio communication),"Any other radio-related deficiency. Could range from antenna damage (which could be severe if it disables comms) to missing posters. The default is moderate severity, but if the issue impacts distress communication, it would be handled with high urgency. PSC will evaluate; for example, a broken MF/HF antenna wire would practically cripple long-range radio – that “other” would be treated like a major equipment failure (score would then be high).",6,Equipment
00006,Cargo operations including equipment,,,Process
06101,Cargo securing manual,"(SOLAS VI Reg.5) The ship must have an approved Cargo Securing Manual (CSM) and use it to properly secure cargo (especially for containers, vehicles, etc.). If it’s missing or not followed, cargo might be inadequately lashed, leading to shift or loss overboard in rough seas. PSC will not detain solely for a missing manual if the cargo on board is well-secured and they can obtain the manual quickly, but it’s a clear compliance breach. If they also see poor lashing as a result of no manual, severity shoots up (they may then detain to restow/relash). Baseline 6 – important for safe voyage, though fixable by obtaining the manual from owner quickly.",6,Process
06102,Grain,"(International Grain Code) If carrying bulk grain, the ship needs a Document of Authorization (indicating it can load grain to certain stability criteria) or must follow Grain Code rules for loading and have grain stability data on board. Absence of documentation or proof of grain stability calculations is very severe – shifting grain has capsized ships. PSC typically will not allow a grain-loaded vessel to sail without approved stability calculations (they might detain it in port and require proper trimming or installation of centerline shifting boards, etc.​classnk.com】. Score 8 – critical for stability; likely detention if not compliant.",8,Process
06103,Other cargo - timber -deck/construction,"(Timber Deck Cargo Code) Carriage of timber on deck requires special fittings (like solid uprights, tensioned lashings, maybe increased freeboard). If PSC finds a ship carrying timber without proper uprights or lashings per its Timber Securing Manual, they will likely detain or at least stop it from sailing until it's rectified – shifting timber dramatically affects stability. Several accidents (like Pearl of Scandinavia",7,Process
06104,Lashing material,"All cargo lashings (chains, straps, etc.) must be in good condition and appropriate for the load. Worn or insufficient lashing material can lead to cargo shift or loss. PSC will cite frayed belts or rusted chains and require replacements. It’s a moderate issue – usually easily fixed in port by grabbing spare lashings (so not typically detainable unless lack of proper lashings has already led to dangerously unsecured cargo).",5,Process
06105,Atmosphere testing instruments,"(SOLAS XI-1 Reg.7) Entry into enclosed cargo spaces (holds, tanks) requires a calibrated 4-gas detector as of 2015. Also, tankers must have instruments to test cargo tank atmosphere (oxygen, hydrocarbon) before entry or during inerting. If these devices are missing or inoperable, crew could unknowingly enter lethal atmospheres – a frequent cause of fataliti8】. PSC views this as a very serious crew safety hazard (and a MARPOL violation for tankers required to monitor inert gas levels). Detention is common if no functional multi-gas meter is on board.",8,Process
06106,Cargo transfer - Tankers,"Equipment used for cargo transfer on tankers (cargo pumps, valves, loading arms) must be reliable. If critical transfer equipment fails (e.g., a cargo pump that can’t stop, or a stuck cargo valve), it can cause spills or inability to control cargo flow. PSC will likely detain a tanker if it cannot safely load or discharge (for instance, emergency cargo pump inoperable, or vapor return system failing during loading). High-moderate severity: operations are halted until fixed due to pollution and safety risk.",7,Process
06107,Cargo operation,"This code might be used if PSC finds unsafe cargo handling practices or procedural violations not covered elsewhere. For example, if a bulk carrier’s loading plan isn’t followed (risking structural damage), or a container ship not following IMDG segregation despite having the plan. It indicates an ISM failure in cargo handling. Severity moderate – could lead to detention if the observed practice poses immediate danger (like loading heavy cargo all to one side causing list). Otherwise, it results in an ISM observation to improve procedures.",6,Process
06108,Cargo density declaration,"Shippers must declare bulk cargo density (for loading calculations and tank top limits). If such information isn’t provided to the master, it’s a violation of SOLAS and IMSBC Code. Without it, loading could overstress the ship’s structure unknowingly. PSC will mostly treat this administratively (ensure the document is obtained before departure). It’s relatively low severity since masters usually demand this info; if it were actually missing, the vessel shouldn’t load until obtained.",3,Process
06199,Other (cargo),"Other cargo-related deficiencies not specifically listed. Could range from using improper cargo gear to poor cargo hold cleanliness for the next load. Average moderate importance. Actual severity will depend on the scenario – e.g., “Other” might be used if a heavy-lift wasn’t properly secured (which would be very high severity requiring immediate action), or something minor like absence of a cargo handling manual copy (low severity). We assign a middle value.",5,Process
00007,Fire safety,,,Process
07101,Fire prevention structural integrity,"Structural fire protection (insulation, fire-rated bulkheads and decks) must be intact. If fire insulation is missing/damaged or holes exist in fire-resisting divisions (from unauthorized penetrations or corrosion), fire and smoke can spread rapidly. PSC often finds missing fire insulation in engine rooms or cable transits not sealed. This is a significant deficiency – the ship can be detained if major fire boundaries (like engine room casing or accommodation decks) are compromised. Score 7 – requires prompt repair (re-insulation, sealing) to restore the fire integrity.",7,Process
07102,Inert gas system,"(SOLAS II-2/Reg.5.5 & IGC) Tankers carrying crude oil or certain chemicals must have a working inert gas system (IG) to keep tank atmospheres non-flammable. If the IG system is inoperative, the tanker is effectively a floating bomb – a spark could cause a catastrophic explosion. PSC will detain a tanker immediately for a non-functional IG syst2】. This is one of the most severe safety issues for tankers, and such detentions are common if IG pressure or alarms fail. The vessel typically must cease cargo operations until IG is repaired or, if not fixable, offload cargo and not sail laden. Score 10.",10,Process
07103,"Division - decks, bulkheads and penetrations","Fire divisions (A-class decks/bulkheads) and the integrity of any cable pipe penetrations through them. If PSC finds, say, cable transits in engine room bulkheads that aren’t sealed with fire-resistant material, or fire doors that don’t meet division requirements, the fire boundary is compromised. They will require immediate sealing of penetrations (often using approved compounds). It’s a high severity issue – unsealed penetrations have led to fires spreading between compartments. The ship could be detained if numerous or major openings are unsealed.",8,Process
07104,Main vertical zone,"On passenger ships, bulkheads dividing the ship into main vertical zones must limit fire spread. If an MVZ boundary (A-60 bulkhead, for example) is found breached or not up to standard (perhaps a fire door left out during modification or insulation damaged), a fire could traverse multiple zones. Given the potential for hundreds of lives at stake on a cruise ship, PSC treats this as very serious – likely detainable until rectified. Score 8.",8,Process
07105,Fire doors/openings in fire-resisting divisions,"Self-closing fire doors in A-class divisions are often found tied open or not closing fully (due to paint, damage, etc.). This is one of the most common deficienci7】. A door wedged open can let fire and smoke spread. PSC will insist the practice stops (no door wedging) and that any faulty door closers be fixed. They may not detain for one bad door if others work (they often just get crew to start fixing it on the spot), but if many fire doors are inoperable, detention is possible under ISM. Score 6 given typical scenario (few doors issue). Crew usually correct it during inspection (e.g., remove wedges, demonstrate self-close).",6,Process
07106,Fire detection,"The automatic fire detection system (smoke/heat detectors, fire alarm panel) is crucial for early warning. If it’s non-functional or zones are in fault, a fire might go undetected until it’s too late. PSC often tests the fire detection by triggering an alarm. Failure of the system or any major part of it (e.g., no alarms in engine room because detector circuit is broken) is a detainable item. They’ll require immediate repair because the ship is essentially “blind” to fir4】. Score 8. (If just a couple detectors are dirty and gave false alarms leading crew to turn off that zone – that is still very serious in PSC eyes; many detentions stem from disabled fire detection zones).",8,Process
07108,Ready availability of fire fighting equipment,"All firefighting appliances must be readily available and in working order (fire hoses rolled out or connected, extinguishers charged, hydrants accessible). Common issues: hydrants blocked by cargo, fire hoses missing or deteriorated, BA sets locked away not ready, etc. PSC writes this up frequently and will detain if, say, none of the fire hoses are usable or fire stations are buried under cargo – because in a fire, time lost accessing equipment can be fatal. Generally score 6 – easy to fix (clear the obstruction, replace a missing nozzle) but significant if widespread.",6,Process
07109,Fixed fire extinguishing installation,"The fixed firefighting systems (e.g., CO₂ flooding system in engine room and cargo holds, Halon or foam systems) must be 100% operational. If PSC finds any indication it may not work – say, CO₂ bottles not correctly connected, or discharge piping heavily corroded, or crew can’t demonstrate the system within required time – it’s a major deficiency. A non-functional CO₂ system is a notorious detention item: an engine room fire without CO₂ backup can’t be controll4】. PSC often verifies the CO₂ room is properly locked/sealed and crew can release CO₂. If any part fails (e.g., a section of CO₂ didn’t discharge in test or someone left valves shut), detention is likely until fully fixed. Score 9.",9,Process
07110,Fire fighting equipment and appliances,"This refers to portable and semi-portable firefighting equipment: fire hoses, nozzles, portable extinguishers, fireman’s outfits, fire axes, etc. PSC commonly finds, for example, missing or expired extinguishers, hoses so old they burst under pressure, or not enough fireman’s outfits. These deficiencies are high priority because if a fire starts, lacking any of these tools can cripple the response. For instance, if an engine room fire occurred and all fire hoses were rotten, the crew would be helpless – definitely detainable. Score 8 – typically a ship will be detained if multiple essential firefighting appliances are unserviceable (e.g., all SCBA air bottles empty or out-of-test, no functional fire hoses on a deck).",8,Process
07111,Personal equipment,"SOLAS requires at least two fire-fighter’s outfits (complete gear: protective clothing, SCBA, spare air, helmet, boots, etc.). Often PSC finds issues: missing gloves, SCBA sets not holding pressure, or only one set on board. Given that without proper gear, crew can’t safely attack a fire, this is a detainable deficiency. In fact, “fireman’s outfit not complete” is very often on detention lists. PSC will make the ship get the missing kit before departure. Score 8. (No functional SCBA = immediate detention, as it imperils fire response).",8,Process
07112,Emergency escape breathing Device and disposition,"EEBDs (small air packs for escaping smoke-filled spaces) are required in machinery spaces and accommodations (quantity per crew size and layout). PSC checks their locations and expiration. If EEBDs are missing or not distributed per the Fire Plan (say, none in engine control room or too few in accommodations), that’s serious. In a smoke scenario, lack of EEBDs can lead to asphyxiation of crew trying to escape. PSC will require compliance (often detaining if all EEBDs in E/R are expired or if significantly undersupplied). We give 7.",7,Process
07113,Fire pumps and its pipes,"The main fire pumps (typically two engine-room pumps) and fire main piping must be capable of providing two powerful fire hoses. If one main fire pump is out of order and the other alone can’t meet demand (or if fire main piping is leaking such that pressure is low), the ship’s ability to fight even a small fire is compromised. PSC often tests fire pump pressure by having crew run hoses on deck. Insufficient pressure or inoperable pump = detention (unless emergency pump can cover, but that’s not for normal use). Many detentions cite “fire main incapable of delivering water to furthest hydrant.” Score 8 – high severity.",8,Process
07114,"Means of control (opening, pumps) Machinery spaces","This refers to remote shutoffs and controls to stop fuel pumps, ventilation fans, quick-closing valves on fuel lines, etc., from outside the space in case of a fire. If these don’t work (e.g., fuel quick-close valves are seized open, fan dampers don’t shut), then a machinery space fire cannot be starved of fuel or air – a dire situation that can lead to total loss. PSC places extreme importance on th8】; many detentions involve jammed quick-closing valves or vents that wouldn’t close. We score 9. A ship will typically be detained until, say, all quick-closing valves are overhauled and proven to shut, because a roaring engine room fire with fuel supply continuing is practically uncontrollable.",9,Process
07115,Fire-dampers,"Ventilation fire dampers in ducts must close to cut off airflow in a fire. PSC often finds dampers frozen due to rust or paint. Inability to close them means a fire, especially in engine room, will get constant oxygen and spread smoke throughout. It’s a serious deficiency; the crew is usually made to free up or replace dampers immediately. If many critical dampers are stuck, detention is likely. Score 8.",8,Process
