Code,Title,Description,Paris MOU Recommendations,AMSA Trends,AMSA Recommendations,Tokyo MOU Trends,Tokyo MOU Recommendations,Paris MOU Trends,Mapped Questions-Internal,Mapped Questions-External
2108,Electric equipment in general,"Under structural condition maybe referring to general electrical fittings not posing ignition risk or not compromised by structure (this code’s placement is odd; possibly meant for structural fire safety of electrical cable penetrations, or electrical wiring integrity in damp spaces). If PSC finds widespread unsafe wiring or electrical fittings that could fail (leading to fire or loss of vital systems), they issue deficiencies. It’s moderately severe – mostly impacting reliability and fire safety. (If it’s about intrinsically safe electrical gear in dangerous spaces, then severity would be higher, but that might fall under other categories).",,,,,,,"General inspection of Lighting, Light fittings, Emergency lights, stub pipes & cable glands? # Condition of ER piping below floor plates - leaks/soft patches/ temporary repairs?","Are light fittings in the tunnel conveyor Ex‘d’ rated and in good condition? (V)? # Are the main, emergency switchboards and local starter panels surrounded by non- conducting mat and are the mats in good order? (V)? # Is the condition of electrical equipment including switches, sockets, junction boxes, plugs, conduits and wiring on weather decks satisfactory? (V)?"
2109,Permanent means of access,"Newer tankers and bulkers must have means for inspectors to access critical structural areas (per SOLAS XI-1/Reg.3-6). If those means (railed platforms, ladders, etc.) are missing or unsafe, it hampers proper inspection and maintenance of structure. PSC will note it; while not an immediate threat, lack of access can hide serious structural issues. They might require it fixed by next special survey. Moderate severity.",,,,,,,"Condition of pipe supports, catwalk, ladders, gangways and net for same?","Are the access points to cargo holds, ballast tanks, and void spaces including vertical ladders, spiral ladders, rungs, stations, and platforms being maintained and in good order? (V)? # Are visible means provided to prevent access to all entrances containing fumigant and other spaces that are considered unsafe to enter after fumigation? (V)? # Is the steel structure of girders and trolleys free of deformation? Are the access and service platforms of the gantry cranes, including vertical ladders, ladders cages, rungs, stations and platforms being maintained, free of corrosion and in good order? (V)?"
2110,"Beams, frames, floors-op.damage","Heavy items or operations can bend or deform internal hull members (frames, deck beams, bottom floors). If PSC sees bent frames from cargo operations or slamming, it signals weakened hull sections. A few slightly bent frames = deficiency to monitor; many or severe deformations = detention until class approves strength is intact. We score 7 on average – could be higher if deformation is extensive (risking structural collapse under load).",,"MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,Last 2 Thickness measurement reports (Sonic Guaging reports) for hull/decks/bulkkheads available and in good oder?,"Are the cross-joint seal retaining channels and the cross-joint compression bar straight, free of corrosion and damage, and are the channel supports and brackets in good condition? (V)?"
2111,"Beams, frames, floors-corrosion","Widespread wastage of structural members (frames, beams, etc.) due to rust significantly reduces hull strength. PSC (often via class measurements) treat advanced corrosion as a very serious issue – e.g., >25% diminution usually requires immediate repair. Bulk carriers with corroded frames have broken in half. So this often leads to detention or at least a Condition of Class before next voyage. High severity.",,,,,,,,
2112,Hull - corrosion,"General hull plating corrosion: if it’s more than superficial (flake rust), e.g., pitting, grooving, or areas of reduced thickness, it threatens watertightness and strength. PSC may gauge thickness or demand ultrasonic reports. Heavy corrosion (wastage beyond allowable) on shell or deck is detainabl​fma.fo】. E.g., a holed side shell plate from rust = immediate detention until repaired. High severity.",,NCP 2024-25: Watertight integrity & maintenance – increased flooding incidents,Inspect hull plating for corrosion; repair corrosion promptly to maintain watertight integrity; include corrosion control in planned maintenance; ensure hull thickness within limits.,,,,,"Is if the hatch panel side and end plates are in steel-to-steel contact with the coaming tops when closed, are the coaming tops free from grooving or wear? (V)? # Are the weather decks free of loose rust scale and maintained in a satisfactory condition? (V)?"
2113,Hull - cracking,"Cracks in the hull, even small, tend to propagate and can cause catastrophic failure. Especially alarming are cracks in high-stress areas (deck, bottom, near hatch corners on bulkers). PSC will detain for any crack that goes through the plating (through-thickness​fma.fo】. A crack is essentially an active failure in progress – thus extremely severe. (They might allow a temporary repair or limit cargo until permanent fix, under class direction, but not sailing as-is.)",,NCP 2024-25: Watertight integrity & maintenance – increased flooding incidents,Check for hull cracking and stress; repair cracks immediately; monitor high-stress areas; conduct structural surveys to prevent flooding incidents.,,,,,
2114,Bulkhead –corrosion,"Watertight bulkheads (e.g., engine room forward bulkhead, collision bulkhead, transverse holds bulkheads in bulk carriers) are crucial to limit flooding. If they are severely corroded, flooding from one compartment can spread. PSC will insist on repairs quickly. Less visible externally, but if known, it’s serious – possibly detention depending on extent and which bulkhead. Moderate-high severity.",,,,,,,,"Is the vessel free from any visible bulkhead leakage? # Are the compression bars and the coaming tops’ water channels clean, free of corrosion and maintained in good condition? (V)? # Are the cross-joint seal retaining channels and the cross-joint compression bar straight, free of corrosion and damage, and are the channel supports and brackets in good condition? (V)?"
2115,Bulkheads - operational damage,"Bulkheads can be damaged by cargo operations (e.g., grabs in bulk holds denting bulkheads) or grounding, etc. Dented bulkheads may not be as strong against water pressure or cargo load. PSC will consult class; if damage is beyond class-allowable deformation, they’ll detain for repair. Score ~7 given it could degrade watertightness (though if not cracked, just dented, might be tolerable short-term with class okay).",,"MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,"Last 2 Thickness measurement reports (Sonic Guaging reports) for hull/decks/bulkkheads available and in good oder? # Any visible dents? If yes, are they included in Class records? # Condition and pressure test records of cargo lines, tk cleaning line, IG line, bunker lines. Condition of service air lines, conduits, hydraulic lines of deck including pipe supports and clamps? # Condition of SW main line in bilges - leaks/soft patches/ temporary repairs?","Is the vessel free from any visible bulkhead leakage? # Is the sounding of cargo hold bilge, ballast tanks, chain lockers, pipe ducts and other void spaces regularly performed for accumulations of water, or alternative evidence of regular monitoring? # Is the vessel free of any hull repairs unreported to class? (V)? # Are regular monitoring of stress and stability being maintained throughout cargo operations and is the vessel’s condition being maintained within design limits? (V)? # Are the hold bilges cleaned prior to loading and have all hold openings been made grain tight? (V)? # Is there evidence to show that evaluation of forces acting on the containers have been calculated and the correct cargo-securing devices are being used to secure the containers to the ship (V)? # Are the ship’s crew aware of the safe operating requirements of tunnel conveyor watertight bulkhead doors and/or watertight doors in shuttle conveyor room, where applicable, and is a record of inspections and maintenance available on board? (V)? # Is the condition of belts’ tension checked during cargo operations and is there evidence to show that the belt tension and alignment is inspected regularly for proper function? (V)? # Are the compression bars and the coaming tops’ water channels clean, free of corrosion and maintained in good condition? (V)? # Are the cross-joint seal retaining channels and the cross-joint compression bar straight, free of corrosion and damage, and are the channel supports and brackets in good condition? (V)? # Are the main structures, foundation structures and mountings of the cargo cranes free of apparent defect or damage? (V)? # Are the gantry cranes electrically bonded and earthed to the vessel’s structure? (V)? # Are the driver’s cabs and local operating stations of the gantry cranes maintained in good condition? (V)?"
2116,Bulkheads - cracking,"Cracks in bulkheads (especially watertight or tank bulkheads) are very severe – they allow flooding or fluid transfer when they should be sealed. E.g., a crack in a collision bulkhead could let seawater from a bow breach flood the next compartment, defeating the design. PSC will detain until repaire​fma.fo】. High severity.",,,,,,,,Is the vessel free of any apparent structural defects? (V)?
2117,Decks - corrosion,"Deck plating (main deck on tankers/bulkers, or vehicle decks on ro-ros) with significant wastage can lose strength. A corroded main deck on a bulker can fail under load (and has, in structural failure incidents). PSC focuses on deck condition; heavy rust with flakes may be allowed with condition, but wasted thin deck sections will trigger detention for repairs. Score 7, leaning higher if far advanced.",,,,,,,"Fixed fire fighting system for deck on tankers last tested/next testing due. If foam system, check foam type and analysis reports , level of compound in foam tank (reqd qty of foam compound as per calculations in Foam system manual to be displayed at tank. Level corresponding to this approved quantity to be marked on level gauge.? # Last 2 Thickness measurement reports (Sonic Guaging reports) for hull/decks/bulkkheads available and in good oder? # Structural and painting condition of main decks. TM reports available for review.? # Condition and pressure test records of cargo lines, tk cleaning line, IG line, bunker lines. Condition of service air lines, conduits, hydraulic lines of deck including pipe supports and clamps? # Any pipelines on deck or deck plating having doublers/soft patches/leakages / temporary repairs? # Condition of P/V Breaker, guage glass, Deck Seal, plating under deck seal.?","Is information readily available on the ballasting and de-ballasting rate, the maximum allowable load per unit, the surface area of the tank-top plating, and the maximum allowable load per hold? (V)? # Is the boom conveyor in good order, free of corrosion, damage, and oil leakage? (V)? # Is the ship’s hull clean, free of significant corrosion, extensive coating breakdown and marine growth? (V)? # Are the weather decks free of loose rust scale and maintained in a satisfactory condition? (V)? # Are the pipes on deck free of significant corrosion, pitting, soft patches or temporary repair and maintained in good condition? (V)?"
2118,Decks - cracking,"Cracks on deck, especially main deck of bulk carriers or tankers, are red flags for structural failure (e.g., many bulk carrier losses in the ’90s were preceded by deck cracks). PSC will not allow a vessel to sail with active deck crack​classnk.com】. Expect detention until at least temporary welded repairs and class clearance. High severity.",,,,,,,"Structural and painting condition of main decks. TM reports available for review.? # Any pipelines on deck or deck plating having doublers/soft patches/leakages / temporary repairs? # Condition of P/V Breaker, guage glass, Deck Seal, plating under deck seal.?","Are the cranes’ transverse rail, rack, tooth-rack, travelling pinion and travelling wheel free of cracks, misalignment, and abnormal wear; and is there evidence of regular inspection and maintenance? (V)? # Are the pipes on deck free of significant corrosion, pitting, soft patches or temporary repair and maintained in good condition? (V)?"
2119,Enhanced survey programme (ESP),"Oil tankers and bulk carriers have to undergo an ESP with close-up surveys of critical structure at certain intervals. If the ship has not complied (e.g., overdue ESP survey or missing thickness gauging reports), PSC will be very concerned that unseen structural problems exist. They may detain or insist on an immediate survey before departure. It’s essentially a serious compliance breach for high-risk ships. High moderate severity (ties directly to structural safety oversight).",,,,,,,,Is the enhanced survey report file adequately maintained and does the condition evaluation report confirm the fitness of the ship for its intended service for the next five years?
2120,Marking of IMO number,"SOLAS XI-1 requires the IMO number to be permanently marked on the hull and in the engine room. If missing, it’s a minor issue of identification – doesn’t affect structure or safety. PSC will instruct to paint it on. Very low severity.",,,,,,,,"Are IMO symbols to identify the location of life saving equipment, firefighting equipment and hazardous area displayed appropriately and in good condition? (V)?"
2121,Cargo area segregation,"This refers to the separation between cargo areas and other parts of the ship (e.g., cofferdams, double hull, safe separation of cargo tanks from machinery spaces on tankers). If segregation is compromised (say a cofferdam is eliminated or a door added between cargo hold and engine room), that’s dangerous – vapors or flooding can travel where they shouldn’t. PSC would detain if, e.g., an unauthorized opening was cut in a bulkhead that breaches segregation. Otherwise, if just documentation of segregation arrangement is lacking, moderate. If actual physical segregation is breached, very high. Average moderate score with potentially higher case-by-case.",,,,,,,,
2122,"Openings to cargo area, doors, ..., scuttles","Any opening from accommodation or engine spaces into cargo areas (or on deckhouses in cargo zone) must be properly sealed/weathertight (or vapor-tight for tankers). If doors or portlights into cargo holds or hazardous areas are not secure, it’s a big hazard (water ingress or gas leakage into accommodation). PSC will cite, and likely detain until sealed, any non-conforming opening. E.g., a broken hatch on a ro-ro deck or an open skylight into a hold is unsafe. High moderate severity.",,,,,,,"Condition of cargo hold ventilator flaps/pump room blowers high/low suction flaps / flaps of all natural and mechanical ventilators on deck.? # Condition of cargo hold hatch covers/packing and operating mechanism. Any hydraulic leaks / non operational hydraulic motors? # Cargo hold hatch covers operation and weather tightness.? # Condition of light fittings on the forward side of the accommodation. For tankers, must be Explosion proof and in intact/gas tight condition.? # Pump room booby hatch cover, skylight condition?","Are the dangers associated with oxygen depletion of cargo understood by officers and crew, and have reasonable precautions been taken during routine inspections of the cargo, when entering the holds and adjacent spaces? (V)? # Have hatch covers been ultrasonically tested for weather tightness before loading? (V & M)? # Are visible means provided to prevent access to all entrances containing fumigant and other spaces that are considered unsafe to enter after fumigation? (V)? # Are procedures in place for entering any cargo holds sealed for fumigation in transit? (V)? # Are the master and / or chief officer familiar with the rules for deciding to ventilate the cargo holds during the voyage? (V)? # Is ventilation of cargo holds, where required, being carried out and recorded? (V)? # Are the dangers associated with oxygen depletion of grain cargo understood by officers and crew, and have reasonable precautions been taken during routine inspections of the cargo, when entering the holds and adjacent spaces? (V)? # Are procedures in place to carry out function and tightness testing of bow, inner, side shell, stern doors and main to lower deck cargo elevators of ro-ro cargo ships and is there evidence of regular testing? (V)? # Are vehicles on the ro-ro car decks safely stowed and secured? (V)? # Have containers carried on deck or on hatches been stowed in the fore-and-aft direction? (V)? # Are the cargo hold discharge gates and water-tight doors clearly marked to indicate the hold and spaces they serve? (V)? # Are hatch cover panels free of misalignment? (V)? # Are the following parts of the hatch covers, where applicable, all in good order and do they appear to be well maintained? (V)? # Is if hatch covers are hydraulically operated, has the hydraulic oil been tested regularly for contamination and deterioration? (V & M)?"
2123,"Wheelhouse door, -window","This is likely about weathertight integrity of the navigation bridge. A wheelhouse external door or window that doesn’t secure could let water in on the bridge in heavy weather (which can damage electronics, wash crew out, etc.). It’s a moderate issue – not as critical as hull openings lower on the ship, but still needs fixing. PSC will write it up and expect repair at next port. Low-moderate severity (unless in polar conditions or such where any opening could be dire).",,,,,,,,"Are all the watertight doors, weathertight doors, portholes, and wheelhouse windows maintained in good order? (V)?"
2124,Cargo pump room,"(Tankers) The cargo pump room on tankers is a critical, hazardous space (with flammable vapors). Structural or safety deficiencies in the pump room – e.g., corroded bulkhead between pump room and engine room, non-functional pump room bilge system, or unable to inert – are extremely severe. A failure could lead to explosion or flooding that spreads. PSC will often enter pump rooms for inspection; any significant issue (holes, heavy oil leaks, fan failure) is often detainable until remedied because pump room explosions have caused tanker losses. Score 9 – vital to tanker safety.",,,,,,,"Condition of cargo hold ventilator flaps/pump room blowers high/low suction flaps / flaps of all natural and mechanical ventilators on deck.? # Condition of light fittings on the forward side of the accommodation. For tankers, must be Explosion proof and in intact/gas tight condition.? # Smart operation of Pump room blower flaps both at top and bottom of pump room.?","Are the air pipes and sounding pipes in the cargo holds and void spaces in good condition? (V)? # Is adequate manifold spill containment provided under the bunker manifolds, and are they clean and empty? (V)? # Are purifier rooms and fuel and lubricating oil handling areas ventilated, free of oil leaks and clean? (V)?"
2125,Spaces in cargo areas,"Refers to conditions of spaces like cofferdams, voids, duct keels, etc., in cargo area. If those aren’t maintained (e.g., flooded, corroded, filled with cargo residue), it could hide structural issues or create free surface effect. PSC will note if those spaces are not accessible or in poor shape. Moderate severity – more of a maintenance and inspection concern unless it leads to structural weakness (then severity rises).",,,,,,,,"Are the air pipes and sounding pipes in the cargo holds and void spaces in good condition? (V)? # Are the cargo hold discharge gates and water-tight doors clearly marked to indicate the hold and spaces they serve? (V)? # Are the main structures, foundation structures and mountings of the cargo cranes free of apparent defect or damage? (V)? # Is the cosmetic appearance of the superstructure satisfactory? (V)?"
2126,Cargo tank vent system,"(Tankers) Cargo tank venting (pressure/vacuum valves, vent lines) must work to prevent over/under-pressure in tanks. If this system is faulty (e.g., PV valves seized or vent lines clogged), a tanker can literally explode or implode. PSC knows this – vent malfunctions on tankers are detainable deficiencie​safety4sea.com】. High severity – no departure until vents are fixed or cargo offloaded, as the consequences of failure are catastrophic (explosion or structural collapse of tank).",,,,,,,"Condition of fire line isolating valve. For tankers, condition of main deck line isolating valves? # Cargo tank pressure sensors (all should be operational) and spare sensors?","Are cargo hold ventilation systems being maintained in good condition? (V)? # Are the drains, vents, and pressure gauges at the bunker manifolds in good order and blanks fitted when not in use? (V)? # Are save-alls fitted around all fuel, diesel, and lubricating oil tank vents; are they clean and empty, and is the drain plug secured with a strap chain to a save-all? (V)? # Are LNG bunker lines being inerted immediately after completion of LNG bunkering and disconnection of hoses from the manifolds and before departure?"
2127,Safe access to tanker bows,"(SOLAS II-1/3-3) Tankers must have a safe passageway (usually centerline catwalk) to the bow, because deck may be slippery or blocked by deck cargo/pipelines, and in heavy weather crew might need to go forward. If that access is missing or damaged (e.g., broken catwalk), crew can’t reach critical equipment (anchors, bow mooring) safely. PSC will require repairs. It’s a moderate safety/work issue. (Not detainable unless port operations demand immediate use of unsafe access – then they’d require mitigation like harnesses or delay operations).",,,,,,,,Is a safe means of access to the vessel being provided? (V)?
2128,Bulk carriers additional safety measures,"(SOLAS XII) Bulk carriers have extra safety features (like water ingress alarms, reinforced bulkheads, loading sequence restrictions). If these additional measures are not in place or not functioning (e.g., cargo hold flooding alarm inoperative), the bulk carrier is at much higher risk of sudden failure (many bulkers sank from undetected water ingress​safety4sea.com】. PSC treats, say, a non-working hold water level detector or missing “loading triangle” marks as serious – likely detention or at least require loaded in benign conditions until fixed. High severity since it relates to known bulk carrier casualty causes.",,,,,,,Cargo hold water ingress alarms - function test and records?,Are lights and warning devices of the self-unloading system regularly tested and the result recorded? (V)?
2129,Bulkhead strength,"If PSC suspects that bulkheads (especially cargo hold bulkheads on bulkers) lack required strength – perhaps due to wastage or damage – they will be very concerned. Weak bulkheads can collapse under cargo or flooding pressure, causing progressive failure. For example, if a transverse bulkhead in a bulk carrier is buckled or repaired poorly, they may detain until a class reassessment is don​fma.fo】. High severity as it directly affects structural integrity in loaded condition.",,,,,,,,
2130,Triangle mark,"Bulk carriers have “loading triangle” marks on hatch coamings indicating the region of partial loading for stability considerations. If not marked, crew might not adhere to proper loading sequences. This is a minor issue in itself (the absence of paint doesn’t sink the ship, it’s informational). PSC will require it to be marked but it’s low severity.",,,,,,,"Loadline marks, draft marks visible/painted?","Are the following permanent markings on the ship’s hull, where applicable, plainly visible and painted in a contrasting colour? (V)? # Are the hatch numbers clearly indicated and correctly placed? (V)?"
2132,Water level detectors on single hold cargo ships,"Single-hold bulk carriers (generally old ones) must have bilge alarms in the hold to warn of flooding (after the Derbyshire investigation). If those detectors are not fitted or not working, the crew might get no warning of progressive flooding until it’s too late. PSC finds this very serious – bulk carriers have been detained for missing or faulty water ingress alarms, as it’s a life-saving early warnin​safety4sea.com】. High severity – likely detention until alarms operational because without them a single hold ship could flood and founder without crew awareness.",,,,,,,Cargo hold water ingress alarms - function test and records? # Bilge alarm and pumping arrangement? # Operating condition of Cargo Tank Overfill Alarm System?,"Are Water Ingress Detector System(WIDS) and alarms maintained in good condition and are the records of tests being maintained? (V & M)? # Is the sounding of cargo hold bilge, ballast tanks, chain lockers, pipe ducts and other void spaces regularly performed for accumulations of water, or alternative evidence of regular monitoring? # Is a water-level alarm system provided for the tunnel bilge well, and is the alarm system regularly tested and the result recorded? (V)? # Is the bilge high level alarm system in good order, regularly tested and are records of test maintained? (V)?"
2133,Asbestos containing materials,"Asbestos is banned on ships (aside from sealed old installations) due to health hazards. If PSC finds loose asbestos (e.g., in pipe lagging in accommodation or engine room), it endangers crew health and violates SOLAS (since new asbestos use is forbidden). They won’t necessarily detain solely for presence if it’s not airborne, but they will demand a plan for removal or encapsulation. If crew are at risk of exposure (friable asbestos), they may detain until hazard mitigated (local port state regulations vary). We give moderate – important for crew long-term health, though not an immediate sinking/fire risk. (It can also cause port state refusal to let crew work on it until handled).",,,,,,,,
2134,Loading/Ballast condition (Tanker),"Tankers, especially oil tankers, must adhere to approved loading/ballasting sequences to avoid excessive hull stress (to prevent structural failure). If PSC finds the tanker in a condition outside its approved loading manual (e.g., too much ballast in mid tanks causing sagging, or carrying heavy cargo without ballast in required tanks), the ship could suffer structural damage or buckling. This is very severe – an improperly loaded tanker could literally break apart. PSC would likely stop cargo operations and detain until the loading is brought within limits or verified by class. Score 9 – critical to hull girder integrity.",Maintain correct loading and ballast conditions; verify ballast treatment or exchange procedures meet BWM requirements; keep stability calculations and load plans up to date; record ballast operations and sediment management in the Ballast Water Record Book,,,2025 joint Paris–Tokyo MoU CIC on Ballast Water Management also covers loading/ballast condition on tankers.,"Ensure loading and ballast conditions comply with approved BWM procedures; record all ballasting operations; check that ballast and cargo separation is maintained; train crew to manage ballast operations and monitor stability and hull stress in accordance with the BWM Planhttps://www.dnv.com/news/2025/psc-cic-2025-on-ballast-water-management-questionnaire-now-published/#:~:text=Recommendationshttps://www.steamshipmutual.com/publications/articles/paris-and-tokyo-mous#:~:text=The%20purpose%20of%20the%20campaign,will%20be%20verified%20during%20inspections.",2025 joint CIC on Ballast Water Management – proper loading/ballast conditions,,"If a ballast water treatment system is fitted, is it in good order and are the officers familiar with its safe operation? # Is an approved ballast water and sediment management plan provided and complied with? # If ballast tanks are located adjacent to fuel oil tanks, or there is a possibility of contamination by hydraulic oil, are ballast tank contents being sampled to ensure there has been no contamination of the water by oil prior to discharge? # Are the ballast pumping systems, their associated instruments, controls, valves, and pipework in good order and is there recorded evidence of regular inspection? # Are the ballast valves in good order and being maintained? # Are ballast tank manholes being maintained in good condition? # Is the enhanced survey report file adequately maintained and does the condition evaluation report confirm the fitness of the ship for its intended service for the next five years? # Is bunker transfer system hydrostatically tested to their Maximum Allowable Working Pressure (MAWP) on an annual basis and to 1.5 times their MAWP at least twice within any five years period? # Are bunkering and oil transfer operations carefully planned and executed in accordance with procedures, and are details of the last operation available? (V)? # Has a pre-compatibility assessment and study of the weather and current forecast been carried out prior to confirming the bunkering operation and is there documented evidence of such assessment and study? # Is there an agreed method of tank pressure and temperature control between the delivering and receiving vessels and is there recorded evidence to show that both ships’ combined temperature and pressure range are within the safety limits before commencing LNG bunkering? # Is the receiving vessel in a high state of readiness at all times during LNG bunkering operations? # Are the officers aware of any LNG bunker loading limitations for the vessel and are these limitations, if applicable, clearly posted at the LNG bunker operation panel? # Is information readily available on the ballasting and de-ballasting rate, the maximum allowable load per unit, the surface area of the tank-top plating, and the maximum allowable load per hold? (V)? # Are there procedures in place for loading, ballasting and de-ballasting of the ballast holds? (V)? # Have precautionary measures to minimise the risk of potential liquefaction and chemical reaction within the cargo during the voyage been incorporated in the procedures, and are these procedures being followed? (V)? # Has as a cargo loading/unloading plan providing a detailed sequence of cargo and ballast transfer been prepared, understood, and signed off by the master and deck officers? (V)? # Are regular monitoring of stress and stability being maintained throughout cargo operations and is the vessel’s condition being maintained within design limits? (V)? # Has the vessel been provided with procedures and contingencies regarding fumigation of cargo holds and are the master and chief officer familiar with the procedure? (V)? # Has a cargo loading/unloading plan providing detailed sequences of cargo and ballast transfer been prepared, understood, and signed off by the deck officers? (V)? # Has the vessel been provided with procedures and contingencies with regards to fumigation of cargo holds and are the master and chief officer familiar with the procedure? (V)? # Is was the pre-loading plan forwarded to the ship prior to loading and is there evidence to show that the ship’s loading plan was updated and reviewed by the chief officer prior to loading? (V)? # Is had the Ballast Water Management Plan for the present port stay been executed? (V)? # Is the ship’s hull clean, free of significant corrosion, extensive coating breakdown and marine growth? (V)? # Are means and procedures in place to safeguard the readiness of the ballast systems in sub-freezing temperature? (V)?"
2199,Other (Structural condition),"A catch-all for any structural issue not specifically listed, which could range widely. PSC may use this if they observe something like loose structural brackets, minor deformation not categorized, etc. Severity will depend on the specific issue. We assign 7 on average – structural issues are generally taken seriously, and “Other” might cover things like minor cracks in non-watertight partitions (less severe) or early signs of fatigue. If it were something severe, PSC would usually categorize it above, but any structural uncertainty is medium-high priority.",,,,,,,,
3,Water/Weathertight condition,,,,,,,,Availability of normal temp/hot water at all decks? # Condition of provisions/potable fresh water?,
3101,Overloading,"(Load Line) If the ship is submerged beyond its assigned load line marks, it’s overloaded. This is an extremely severe violation: the vessel has less freeboard and stability margin than required. PSC will detain the ship on the spot until the excess cargo/fuel is offloaded – sailing overloaded has led to vessels founderin​classnk.com】. Score 10 (immediate risk of loss of stability in bad weather).",Do not load the ship beyond the limits allowed by the load line certificate; ensure cargo distribution and ballast keep the vessel within freeboard limits; verify draft and freeboard marks before sailing.,"MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,,Have heaving lines been constructed with a monkey’s fist at one end and are they free of any added weighting material? (V)?
3102,Freeboard marks,"The Plimsoll load line marks must be correctly positioned and visible. If they are not (e.g., painted over, or draft numbers not readable), it’s a deficiency: it hinders verifying the ship isn’t overloaded. It suggests possible intentional deception in loadin​parismou.org】. PSC will insist on remarking them. Alone it’s moderate severity (administrative), but it often accompanies actual overloading concerns (which are very severe).","Ensure freeboard marks and deck line are permanent, clearly visible and in a contrasting colour; confirm that the marks correspond with the assigned freeboard in the certificate and are not submerged when the ship is loaded.","MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,"Condition of lifebouys on deck & bridge wings. MOB marker buoy to be of correct weight? # Loadline marks, draft marks visible/painted?","Does the vessel’s manager produce a guideline for under keel clearance and air draft clearance? # Are there guidelines and procedures for hold cleaning after completion of unloading? (V)? # Is there evidence to show that samples of the timber cargoes are being weighed during loading and what is the actual weight compared to the weight stated by the shipper? (V)? # Are the hold bilges cleaned prior to loading and are cleaning and checks being recorded? (V)? # Is there documented evidence of carrying out a spot check of actual loading against loading plan? (V)? # Is there documented evidence of signing off completed lashing per bay and is all lashing gear used compatible with the lashing plan? (V)? # Has a thorough examination and load test of lifting appliances been carried out and is the record of the test and examination being maintained properly? (V & M)? # Are the loose gears of lifting appliances marked clearly and are the certificates of the loose gears available and traceable on board? (V)? # Have heaving lines been constructed with a monkey’s fist at one end and are they free of any added weighting material? (V)? # Is the whole mooring deck area marked with clearly visible signage and considered a danger? (V)? # Are the fairleads, rollers, bitts chocks and other items of mooring equipment clearly marked with the relevant SWL? (V)? # Are the following permanent markings on the ship’s hull, where applicable, plainly visible and painted in a contrasting colour? (V)? # Are the hatch numbers clearly indicated and correctly placed? (V)?"
3103,"Railing, gangway, walkway and means for safe passage","This relates to physical safety for crew moving about the ship: e.g., guardrails on exposed decks, a safe gangway for boarding, and clear walkways. Missing or damaged rails or slippery, obstructed walkways can cause falls overboard or injuries. PSC will cite such hazards – they have led to crew accidents. Not usually detainable unless extremely unsafe (e.g., no railing at all around deck edges – then the ship might be detained as unsafe for crew per ISM/MLC). Typically moderate: requires urgent correction (crew rig temporary lifelines, etc.).",Ensure bulwarks or guard rails of at least one metre height are in good condition; provide safe gangways and access for crew; maintain walkways free of obstructions and slip hazards.,,,,,,,
