Section,Question No,Question
Ship’s Structure,8.10,"If the vessel is a timber carrier, has a lashing plan according to the ship’s Cargo Securing Manual been prepared? (V)"
Ship’s Structure,8.11,"Has a pre-stowage plan been prepared prior to the vessel’s arrival at the load port, taking into account any deck cargo and anticipated stability throughout the voyage? (V)"
Ship’s Structure,8.12,"Are officers aware of the strength limits of tank tops, tween decks, hatch covers and weather decks with regards to safe cargo stowage and is this information posted in the ship’s office/ ballast control room? (V)"
Ship’s Structure,8.13,Have pre-stowage and stowage plans been prepared and completed effectively? (V)
Ship’s Structure,8.14,"Is there evidence to show that evaluation of forces acting on the cargo unit have been calculated, and correct cargo-securing devices are being used to secure the cargo to the ship? (V)"
Ship’s Structure,8.15,Have personnel engaged in cargo securing operations been provided with relevant training and familiarisation? (V)
Ship’s Structure,8.16,"If the vessel is carrying timber deck cargo, are relevant regulations of the applicable Load-Line Convention for stowage and securing of timber as prescribed in the ship’s Cargo Securing Manual being followed? (V)"
Ship’s Structure,8.17,"If the vessel is carrying timber, are instructions for ballast water exchange operations for the intended voyage available in the Ballast Water Management Plan? (V)"
Ship’s Structure,8.18,Can timber deck cargo be jettisoned into the sea in a controlled manner in an emergency? (V)
Ship’s Structure,8.19,"If the vessel is a non-cellular ship, have the containers been stowed correctly on deck? (V)"
Ship’s Structure,8.20,Is there a procedure for monitoring the temperature of refrigerated containers and are records maintained? (V)
Ship’s Structure,8.21,"If refrigerated containers are carried, are sufficient spare parts available on board? (V)"
Ship’s Structure,8.22,"If refrigerated containers are carried, is the electric power supply permanently installed from the engine room and are the ship’s electrical distribution system and electric container sockets in good condition and undamaged? (V)"
Ship’s Structure,8.23,Are pre-loading/acceptance procedures for the carriage of vehicles on board a ro-ro cargo ship incorporated in the SMS? (V)
Ship’s Structure,8.24,Is the ro-ro cargo ship equipped with CCTV remote monitoring to monitor the vehicle decks? (V)
Ship’s Structure,8.25,"Is the ro-ro cargo ship drainage system in good order, tested regularly and are effective measures in place to prevent blocking of drains? (V)"
Ship’s Structure,8.26,Is the ro-ro cargo ship provided with an approved Operating and Maintenance Manual (OMM)? (V)
Ship’s Structure,8.27,"Are procedures in place to carry out function and tightness testing of bow, inner, side shell, stern doors and main to lower deck cargo elevators of ro-ro cargo ships and is there evidence of regular testing? (V)"
Ship’s Structure,8.28,Is an operation manual for the ventilation system in a ro-ro cargo space provided and do records on board verify that the air quality is tested? (V)
Ship’s Structure,8.29,"Is the ro-ro ship fitted with an automatic system to control air quality in the cargo holds and are records of inspection, testing, calibration, and maintenance of the system being maintained? (V)"
Ship’s Structure,8.30,Are vehicles on the ro-ro car decks safely stowed and secured? (V)
Ship’s Structure,8.31,Has the vessel been provided with procedures and contingencies with regards to fumigation of cargo holds and are the master and chief officer familiar with the procedure? (V)
Ship’s Structure,8.32,"Have the air conditioning intakes for the accommodation, the engine room and other spaces been set to prevent the possibility of drawing in fumigant gas? (V)"
Ship’s Structure,8.33,"Are necessary instruments (with spares) to determine the dew points provided, maintained in good condition and are there records of calibration of such instrument? (V)"
Ship’s Structure,8.34,Are master and/or chief officer familiar with the rules for deciding when to ventilate the cargo holds during the voyage? (V)
Ship’s Structure,8.35,Is ventilation of cargo holds being carried out and recorded? (V)
Ship’s Structure,8.36,Are the hold bilges cleaned prior to loading and are cleaning and checks being recorded? (V)
Ship’s Structure,8.37,Do records on board verify that cargo lights in holds were properly isolated before cargo was loaded? (V)
Ship’s Structure,8.38,Is an adequate record of all cargo operation activities maintained during loading and unloading? (V)
Ship’s Structure,8.1,"Is the vessel provided with operator’s policy statements and relevant publications for the safe stowage, securing and handling of the container? (V)"
Ship’s Structure,8.2,Has appropriate cargo information been provided to the vessel prior to loading? (V)
Ship’s Structure,8.3,"If dangerous goods are carried in a container, have appropriate documents been provided to the vessel, and is safety in relation to stowage of declared dangerous goods and higher risk cargoes being considered? (V & M)"
Ship’s Structure,8.4,Is there a procedure for checking the container’s seals and is there documented evidence of compliance? (V)
Ship’s Structure,8.5,"Is cargo on flat racks, where applicable properly secured? (V)"
Ship’s Structure,8.6,Is the verified gross mass communicated in shipping documents sufficiently in advance to the master? (V)
Ship’s Structure,8.7,Have containers carried on deck or on hatches been stowed in the fore-and-aft direction? (V)
Ship’s Structure,8.8,Are containers stowed in block stowage? (V)
Ship’s Structure,8.9,Are procedures for safe lashing and securing operations of containers being incorporated in the ship’s SMS? (V)
Ship’s Structure,8.10,"Is an approved ship’s specific Cargo Securing Manual available, and are officers thoroughly familiar with the contents of the manual and is the lashing plan compatible with the design of the vessel? (V)"
Ship’s Structure,8.11,Are records maintained of the regular inspection and maintenance of the cargo-securing devices on board the ship? (V)
Ship’s Structure,8.12,Is there a sufficient quantity of reserve cargo- securing devices on board? (V)
Ship’s Structure,8.13,Is the Cargo Safe Access Plan (CSAP) prepared and was it followed on board? (V)
Ship’s Structure,8.14,Are appropriate securing points being used for cargo securing and is there recorded evidence of regular inspection and maintenance of them? (V)
Ship’s Structure,8.15,Are there procedures for reporting and removal of damaged lashing devices from service and are there records to demonstrate that damaged lashing devices have been removed from service? (V)
Ship’s Structure,8.16,Is a Class-approved loading computer or programme in use and has its operational accuracy been regularly tested? (V)
Ship’s Structure,8.17,Was the pre-loading plan forwarded to the ship prior to loading and is there evidence to show that the ship’s loading plan was updated and reviewed by the chief officer prior to loading? (V)
Ship’s Structure,8.18,Is there recorded evidence to show that the pre-loading plan has been checked for ‘heavy’ container stacks? (V)
Ship’s Structure,8.19,Has the vessel avoided loading of heavy containers over light or at the top of a stack in a deck stow? (V)
Ship’s Structure,8.20,Is there recorded evidence to show that the lashing pattern from the Cargo Securing Manual has been provided to the terminal and is the information for the lashing pattern posted at the ship’s access? (V)
Ship’s Structure,8.21,Had the Ballast Water Management Plan for the present port stay been executed? (V)
Ship’s Structure,8.22,Is there documented evidence of carrying out a spot check of actual loading against loading plan? (V)
Ship’s Structure,8.23,Is there documented evidence of signing off completed lashing per bay and is all lashing gear used compatible with the lashing plan? (V)
Ship’s Structure,8.24,Is the bridge visibility condition for the next port confirmed? (V)
Ship’s Structure,8.25,Is there evidence to show that evaluation of forces acting on the containers have been calculated and the correct cargo-securing devices are being used to secure the containers to the ship (V)
Ship’s Structure,8.26,Is there documented evidence that lashings were tightened after departure once the lashings and containers settled in? (V)
Ship’s Structure,8.27,Have personnel engaged in cargo securing operations been provided with relevant training and familiarisation? (V)
Ship’s Structure,8.28,"Is the vessel equipped with sufficient portable radio equipment for use and has a direct radio communication capability been stablished between the terminal (planner, foreman, and watchman) and the ship duty’s officer? (V)"
Ship’s Structure,8.29,"Has an IMDG spotting plan been prepared, updated, and made available for emergency preparedness? (V)"
Ship’s Structure,8.30,Is there a procedure for monitoring the temperature of refrigerated containers and are records maintained? (V)
Ship’s Structure,8.31,"If refrigerated containers are carried, are sufficient spare parts available on board? (V)"
Ship’s Structure,8.33,Are officers familiar with the exothermic chain reaction and the stowage and segregation requirements for calcium hypochlorite in containers? (V)
Ship’s Structure,8.34,Is an adequate record of all cargo operation activities maintained during loading and unloading? (V)
Ship’s Structure,8.1,Is the vessel provided with operator’s procedures for safe operation of the self- unloading system? (V)
Ship’s Structure,8.2,Is the vessel provided with self-unloading isolation procedures? (V)
Ship’s Structure,8.3,Have personnel engaged in operation of the self-unloading system been provided with relevant training and familiarisation? (V)
Ship’s Structure,8.4,"Are the ship’s crew aware of the safe operating requirements of tunnel conveyor watertight bulkhead doors and/or watertight doors in shuttle conveyor room, where applicable, and is a record of inspections and maintenance available on board? (V)"
Ship’s Structure,8.5,Are the officers and ratings aware of the location of the emergency stop devices; are the emergency stop devices in good order and is there recorded evidence of regular testing? (V)
Ship’s Structure,8.6,Are light fittings in the tunnel conveyor Ex‘d’ rated and in good condition? (V)
Ship’s Structure,8.7,Are lights and warning devices of the self-unloading system regularly tested and the result recorded? (V)
Ship’s Structure,8.8,Is there a procedure for suppression of dust during cargo operations? (V)
Ship’s Structure,8.9,Is the belt cleaning system/scrapper in good order and maintained as per manufacturer recommendation and is there evidence to show that the belt cleaners have been inspected regularly for proper function? (V)
Ship’s Structure,8.10,"Are the belt speed- sensors, belt scales and slip detecting device, where applicable, in good order and maintained as per manufacturer recommendations? (V)"
Ship’s Structure,8.11,Are the cargo hold discharge gates and water-tight doors clearly marked to indicate the hold and spaces they serve? (V)
Ship’s Structure,8.12,Has the hydraulic oil of the self-unloading system been tested regularly for contamination and deterioration as per manufacturer recommendation? (M)
Ship’s Structure,8.13,"Are the tunnel-conveyor emergency stop, speed switch, and belt misalignment switch in good order and inspected regularly? (V)"
Ship’s Structure,8.14,Is the tunnel-conveyor hydraulic system arrangement in good condition and free from oil leakage? (V)
Ship’s Structure,8.15,"Are boom dust cover, spill tray and telescopic chute arrangements, where applicable, adequate? (V)"
Ship’s Structure,8.16,"Has the sequence of the cargo plan been followed by the cargo-gate operators, and is the movement of the cargo-gate operators reported to the duty officer and is there evidence to confirm that movement of cargo-gate operators has been monitored to ensure compliance with the cargo plan? (V)"
Ship’s Structure,8.17,Is the vibrator system in good order and is there recorded evidence of regular inspection as per manufacturer recommendations? (V)
Ship’s Structure,8.18,"Is the lift conveyor in good order, free of corrosion, damage and leakage and is the spillage chute of the lift conveyor, where applicable, collecting the cargo spillage effectively? (V)"
Ship’s Structure,8.19,"Are walk-rounds of the entire system carried out regularly, recorded and are the staff conducting the rounds aware of their duties? (V)"
Ship’s Structure,8.20,Is the condition of belts’ tension checked during cargo operations and is there evidence to show that the belt tension and alignment is inspected regularly for proper function? (V)
Ship’s Structure,8.21,Are the tunnel trash pumping and disposal arrangements in good order and is the overboard valve provided with a notice warning against discharge of oil or oily mixture? (V)
Ship’s Structure,8.22,"Is a water-level alarm system provided for the tunnel bilge well, and is the alarm system regularly tested and the result recorded? (V)"
Ship’s Structure,8.23,"Are the emergency stop switch, misalignment switch and speed switch for the boom conveyor and/or shuttle conveyor, where applicable, in good order and are the switches regularly inspected and the result recorded? (V)"
Ship’s Structure,8.24,"Is the boom conveyor in good order, free of corrosion, damage, and oil leakage? (V)"
Ship’s Structure,8.25,"Are the boom conveyor and /or shuttle conveyor, where applicable, walkway lights and, floodlights in good working condition? (V)"
Ship’s Structure,8.26,"Is all electric equipment including cable box, cable run and cable tray and shore interlock connection system on the boom conveyor in good order? (V)"
Ship’s Structure,8.27,Are the officers aware of the slewing/swing out limits of the boom conveyor/shuttle conveyor and is there recorded evidence of verification of function of slew/luff limit switch? (V)
Ship’s Structure,8.28,Are the idlers and return rolls of the self-unloading system free from build-up material and are they rotating freely? (V)
Ship’s Structure,8.29,"Is the ventilation system of the tunnel area in order, and is there documented evidence to confirm that the ventilators are working to their operational capacity? (V)"
Ship’s Structure,8.30,Is the tunnel area clean free from refuse and is the overall standard of housekeeping satisfactory? (V)
Ship’s Structure,8.31,"Is the vessel is provided with guidelines for ‘the prevention, early detection and suppression of fire in the cargo conveyor tunnel’ and are the crew familiar with the guidelines? (V)"
Ship’s Structure,8.32,Does the vessel stability information provide guidance for shipboard personnel on the effect of flooding the tunnel? (V)
Ship’s Structure,8.33,"If the electric voltage power of vessel is greater than 1000 volts (high voltage), is staff suitably trained? (V)"
Ship’s Structure,8.34,"Is the vessel equipped with sufficient intrinsically safe portable radios for use inside the tunnel and, are the radio ‘dead zones’ within tunnel identified and safeguards put in place? (V)"
Ship’s Structure,9.1,"Are the cargo holds, including the underside of hatch covers, free of loose rust scale and paint flakes? (V)"
Ship’s Structure,9.2,Is the master/chief officer suitably trained in the inspection and maintenance of hatch covers? (V)
Ship’s Structure,9.3,Are adequate procedures in place for carrying out hose and / or ultrasonic testing of hatch covers and is documented evidence of such testing available? (V)
Ship’s Structure,9.4,"Are the compression bars and the coaming tops’ water channels clean, free of corrosion and maintained in good condition? (V)"
Ship’s Structure,9.5,"Are the drain holes of coaming clean, the inboard coaming faces free from any vertical rust staining and are the non-return valves in good condition? (V)"
Ship’s Structure,9.6,Are quick-acting cleats and holders all in place and in good working condition with the rubber washers flexible and free from paint and crack? (V)
Ship’s Structure,9.7,"If the hatch panel side and end plates are in steel-to-steel contact with the coaming tops when closed, are the coaming tops free from grooving or wear? (V)"
Ship’s Structure,9.8,"If the hatch covers are supported by bearing pads, chocks, or support blocks, are they free from wear or damage? (V)"
Ship’s Structure,9.9,Are the side and cross-joint rubber seals in good condition? (V)
Ship’s Structure,9.10,Are hatch cover panels free of misalignment? (V)
Ship’s Structure,9.12,"Are the cross-joint seal retaining channels and the cross-joint compression bar straight, free of corrosion and damage, and are the channel supports and brackets in good condition? (V)"
Ship’s Structure,9.13,"Are the following parts of the hatch covers, where applicable, all in good order and do they appear to be well maintained? (V)"
Ship’s Structure,9.14,"Are cross-joint wedges and their wedge bridge (where fitted) in place, operational and effective? (V)"
Ship’s Structure,9.15,"If hatch covers are hydraulically operated, has the hydraulic oil been tested regularly for contamination and deterioration? (V & M)"
Ship’s Structure,9.16,Are officers familiar with emergency hatch cover operation arrangements and is there evidence of effective training of personnel available on board? (V)
Ship’s Structure,9.17,Has a thorough examination and load test of lifting appliances been carried out and is the record of the test and examination being maintained properly? (V & M)
Ship’s Structure,9.18,"Are the hoist and luffing wires of cranes, where fitted, reported in good order and is there recorded evidence of regular inspection and maintenance? (V)"
Ship’s Structure,9.19,"Are the main structures, foundation structures and mountings of the cargo cranes free of apparent defect or damage? (V)"
Ship’s Structure,9.20,"Is the machinery of the cargo crane, including controls in the operator’s cab inspected, tested, and maintained as per manufacturer’s recommendations? (V)"
Ship’s Structure,9.21,Are the ship’s grabs being maintained as per manufacturer recommendation and have the maintenance requirements been incorporated in the PMS? (V)
Ship’s Structure,9.22,Are the loose gears of lifting appliances marked clearly and are the certificates of the loose gears available and traceable on board? (V)
Ship’s Structure,9.1,Has the vessel been provided with procedures for the safe operation of the gantry crane? (V)
Ship’s Structure,9.2,"If gantry cranes are used for lifting hatch covers, are the hydraulic cylinders used for lifting the hatch covers free from leaks and are the hatch covers being marked correctly for precise positioning of the lifting beams and hooks where applicable? (V)"
Ship’s Structure,9.3,"Are check lists in place and being used to cover the check before use, starting the crane and releasing the crane from sea stowage? Is a procedure in place for safe travelling of the gantry crane on deck and are crew familiar with the procedure? (V)"
Ship’s Structure,9.4,Is the vessel provided with a specific isolation procedure for the gantry cranes? (V)
Ship’s Structure,9.5,Are the visual and audible warning signals provided for gantry cranes in the deck area in good order and tested regularly? (V)
Ship’s Structure,9.6,Are the safety devices of gantry cranes in good order and is there recorded evidences of regular testing? (V)
Ship’s Structure,9.7,Are the main hoist overload protection and unbalance detection systems in good order and tested as per manufacturer’s recommendation? Are officers aware of the safe operation parameters of gantry cranes and is this information posted in the ship’s office/ ballast control room? (V)
Ship’s Structure,9.8,"Is each gantry cranes provided with a storm locking arrangement and, does the arrangement appeared to be well maintained? (V)"
Ship’s Structure,9.9,Are the gantry cranes electrically bonded and earthed to the vessel’s structure? (V)
Ship’s Structure,9.10,"Are the mechanical brakes for the gantry crane motions in good order, tested regularly, and recorded? (V)"
Ship’s Structure,9.11,"Are the anti-collision and deceleration devices of the gantry cranes in good order and tested regularly, and are track wheels at the deck level fitted with foot guards? (V)"
Ship’s Structure,9.12,"If the operator’s cabin of a gantry crane travels with the horizontal movement of a load, is the crane operator able to leave the cabin safely in case of power failure or another emergency? (V)"
Ship’s Structure,9.13,"Are portable fire extinguishers located around the gantry cranes and in good condition, and are they maintained regularly? (V)"
Ship’s Structure,9.14,Are the driver’s cabs and local operating stations of the gantry cranes maintained in good condition? (V)
Ship’s Structure,9.15,"Are the retractable jib roofs, sides’ curtains and their securing arrangement being maintained in good condition, are checklists for the operation of the jib roof and curtains available and is the evidence of their consistent use? (V)"
Ship’s Structure,9.16,"Is the telephone system provided for communication between driver’s cab, electrical control room, hatch cover control station and deck level in good order and is there evidence of regular testing and maintenance? (V)"
Ship’s Structure,9.17,"If a platform has been provided on the top of the crane roof for helicopter winching operations, does the area comply with the requirements of ICS guidelines? (V)"
Ship’s Structure,9.18,"If the gantry crane is equipped with a pilot ladder hoist, is the system being by-passed and not in use? (V)"
Ship’s Structure,9.19,"Have a Crane Monitoring System and a port/crane performance logger been provided, are they in good condition and regularly monitored? Are faults recorded in the fault log, verified and fault-finding rectification procedures recorded appropriately? (V)"
Ship’s Structure,9.20,"Is the emergency pump for the operation of the crane maintained in good condition, are crew familiar with their duties in the using the emergency pump and are emergency drills being carried out? (V)"
Ship’s Structure,9.21,"Is the steel structure of girders and trolleys free of deformation? Are the access and service platforms of the gantry cranes, including vertical ladders, ladders cages, rungs, stations and platforms being maintained, free of corrosion and in good order? (V)"
Ship’s Structure,9.22,"Are the cranes’ transverse rail, rack, tooth-rack, travelling pinion and travelling wheel free of cracks, misalignment, and abnormal wear; and is there evidence of regular inspection and maintenance? (V)"
Ship’s Structure,9.23,"Is there evidence to show that regular maintenance has been conducted on the AC motors, electromechanical brake, gear reducer and the blower motors? (V)"
Ship’s Structure,9.24,Has the hydraulic oil of the gantry crane system been tested regularly for contamination and deterioration as per manufacturer recommendation? (V)
Mooring Operations,10.1,"Has the company established guidelines and procedures for the inspection, maintenance and wear zone management of the mooring lines and are they being implemented? (V & M)"
Mooring Operations,10.2,"Does the vessel’s manager carry out regular safe mooring campaigns, learning from near misses and accidents related to mooring operations and are these shared with the fleet? (V & M)"
Mooring Operations,10.3,Are the certificates of mooring lines and mooring tails available on board? (V & M)
Mooring Operations,10.4,Do mooring lines and mooring tails comply with industry guidelines and are they in good order? (V & M)
Mooring Operations,10.5,Is there a procedure for testing the winch brake rendering setting and is it being tested regularly? (V & M)
Mooring Operations,10.6,Are mooring lines correctly deployed and tended? (V)
Mooring Operations,10.7,"Are there sufficient crew members on board to assist in the mooring operation, check and tend the mooring lines at regular intervals? (V)"
Mooring Operations,10.8,"Are all mooring lines on winches correctly reeled on drums, and if made fast ashore, are winch brakes secured and winches out of gear? (V)"
Mooring Operations,10.9,"On split drum winches, have the split drums been set up correctly after the completion of mooring operation? (V)"
Mooring Operations,10.10,"If the mooring tails are used, have they properly connected to the main mooring lines in accordance with industry guidance? (V & M)"
Mooring Operations,10.11,"Are the mooring ropes stowed clear of the deck and are mooring stations well lit, clean and free from oil leaks? (V)"
Mooring Operations,10.12,Have heaving lines been constructed with a monkey’s fist at one end and are they free of any added weighting material? (V)
Mooring Operations,10.13,Is the whole mooring deck area marked with clearly visible signage and considered a danger? (V)
Mooring Operations,10.14,Are appropriate stoppers in use and are the mooring ropes turned up to bitts correctly? (V)
Mooring Operations,10.15,"Do controls, linkages, operating levers, brake drums, brake linings and pins of winches appear to be in good order? (V)"
Mooring Operations,10.16,"Are the pedestal fairleads, roller fairleads and other rollers free of grooving, well-greased and free to turn? (V)"
Mooring Operations,10.17,"Are the fairleads, rollers, bitts chocks and other items of mooring equipment clearly marked with the relevant SWL? (V)"
Mooring Operations,10.18,"Are the windlasses, anchors, locking bars and cables in good order, operating effectively and is their maintenance incorporated in the plan maintenance system? (V)"
Mooring Operations,10.19,Have the anchors been tightly secured in the hawse pipe? (V)
Mooring Operations,10.20,Are the chain locker doors firmly battened down and are the bitter end securing arrangements located outside the chain locker and accessible? (V)
Mooring Operations,10.21,Is the master aware of the limitations of anchoring equipment? (V)
Mooring Operations,10.22,Has the vessel been provided with a ship-specific emergency towing booklet? (V)
Mooring Operations,10.23,"If the vessel’s deadweight is 120,000 or more, does it meet the Pilbara Ports Authority (PPA) requirements for towing?"
Radio and Communication,11.1,Has a qualified person other than the master been designated to handle distress and safety radio communication? (V)
Radio and Communication,11.2,"Is communication equipment, listed in the Record of Equipment attached to the Safety Radio Certificate or Safety Certificate (Form R or Form C), in good condition and has the GMDSS Logbook (the Radio Log) been maintained correctly and are daily, weekly and monthly tests being carried out? (V)"
Radio and Communication,11.3,"Has the Satellite EPIRB been correctly installed, tested and maintained? (V & M)"
Radio and Communication,11.4,Is the most current edition and up to date List of Radio Signals available on board? (V)
Radio and Communication,11.5,"Is the vessel equipped with sufficient portable two-way UHF radios, for use in general on-board operations? (V)"
Radio and Communication,11.6,Are Search and Rescue Radar Transponders (SARTs) in good order and tested regularly? (V)
Radio and Communication,11.7,Are survival craft portable VHF radios in good order and charged? (V)
Radio and Communication,11.8,"Is the AIS static, dynamic and voyage data up to date and has an AIS annual test been performed and the record available on board? (V & M)"
Radio and Communication,11.9,Is there a Shore-Based Maintenance Agreement in place to fulfil the maintenance requirements? (M)
Security,12.1,Is access to the ship being controlled by an adequate deck watch? (V)
Security,12.2,Has a Ship Security Officer (SSO) been appointed and trained adequately to perform the duties of SSO and have all crew received security-related training and instructions? (V)
Security,12.3,Are deck officers familiar with the function and use of the Ship Security Alert System and is the Ship Security Alert System being tested regularly? (V)
Security,12.4,"If the vessel transits or may transit a high-risk piracy area, are updated security charts and publications being provided? (V)"
Security,12.5,"If the vessel transited or may transit an area with a high risk of piracy, has a voyage risk assessment been produced? (V)"
Security,12.6,Have preventive measures been taken by the master and crew during the stay in port and prior to departure to prevent stowaways? (V)
Security,12.7,Are cyber security policies and procedures being incorporated in the safety management system and was the cyber security management system evaluated and certified by Class? (V)
Security,12.8,"Are measures in place for controlling the use of removable media such as USB memory sticks, CDs, DVDs, and diskettes on shipboard computers? (V)"
Machinery Space,13.1,"Are adequate engineering procedures, instructions and guidelines included in the SMS? (V)"
Machinery Space,13.2,Is an engineer manning matrix in place and are the responsibilities of watch standing engineers and engine ratings clearly defined and posted in the Engine Control Room? (V)
Machinery Space,13.3,"Have specific standing orders been prepared by the chief engineer and have these orders along with the night order book been read, understood, and signed by the watch standing engineers, engine crew and electrical engineer, where applicable? (V & M)"
Machinery Space,13.4,"If the vessel has been certified for periodically unattended machinery spaces (UMS), is the machinery space being operated in that mode? (V)"
Machinery Space,13.5,"If the engine room is not being operated in UMS mode, are there sufficient engineers and crew on board for safe operation of the machinery space? (V)"
Machinery Space,13.6,"Have the entry requirements to the engine room when operating in UMS mode been documented, posted at the entrance to the engine room and understood by all crew? (V)"
Machinery Space,13.7,"If an engine room dead man alarm (personnel alarm) is provided, is it being set correctly and in good order? (V)"
Machinery Space,13.8,"Is an engineer’s calling alarm system fitted and is it tested regularly, in good order and the results recorded? (V)"
Machinery Space,13.9,Is the engine room logbook being properly maintained? (V)
Machinery Space,13.10,Are procedures to recover essential equipment documented and posted in the engine room? (V)
Machinery Space,13.11,Is an effective and up to date planned maintenance system available and being followed on board the vessel? (V & M)
Machinery Space,13.12,Is critical equipment identified and are a sufficient spare part available as per the manufacturers’ recommendations? (V & M)
Machinery Space,13.13,Are the major components of the main engine maintained as per manufacturer’s recommendations and records of periodic maintenance kept? (V)
Machinery Space,13.14,Are the major components of the auxiliary engines maintained as per manufacturer’s recommendations and records of periodic maintenance kept? (V)
Machinery Space,13.15,"Are the emergency escape routes clearly marked, free of obstruction and adequately lit? (V)"
Machinery Space,13.16,Is the lighting illumination level in engine room space adequate (V)
Machinery Space,13.17,"Is the emergency equipment tested, in good condition and the result recorded? (V)"
Machinery Space,13.18,"Are engine room emergency stops for ventilation fans and the closing mechanism of ventilation supply and exhaust ducts clearly marked, in working condition, and do records indicate that they have been regularly tested? (V)"
Machinery Space,13.19,Are engine exhausts and other hot surfaces effectively shielded against oil spray and are flanges and connections of flammable liquid pipelines adequately protected with guards and spray tape? (V)
Machinery Space,13.20,"Is lagging and insulation, free of any significant oil impregnation ? (V)"
Machinery Space,13.21,Are main engine bearing temperature monitors or crankcase oil mist detector(s) in good condition and regularly tested as per manufacturer instruction? (V)
Machinery Space,13.22,"Are the main, emergency switchboards and local starter panels surrounded by non- conducting mat and are the mats in good order? (V)"
Machinery Space,13.23,Are the self-closing valves and gauge glasses being maintained and in good order? (V)
Machinery Space,13.24,Are self-closing sounding devices in good order and closed? (V)
Machinery Space,13.25,"Where moving machinery presents a hazard, is it guarded effectively? (V)"
Machinery Space,13.26,"Are the protective guards, shields and emergency stop of the engine room workshop tools being maintained in good order? (V)"
Machinery Space,13.27,"Is the engine room crane and other lifting gear regularly inspected, tested, and maintained? (V & M)"
Machinery Space,13.28,"Are all spare parts and loose gear in the machinery spaces, stores and steering compartment properly secured? (V)"
Machinery Space,13.29,Is the standard of housekeeping in the machinery space and steering gear room satisfactory and are they clean and free from obvious leaks? (V)
Machinery Space,13.30,Are engine room bilges clean and free of oil and sediment? (V)
Machinery Space,13.31,"Is the bilge high level alarm system in good order, regularly tested and are records of test maintained? (V)"
Machinery Space,13.32,"Are the sea chest, seawater pumps and related sea water lines in good order, free of hard rust and temporary repairs? (V)"
Machinery Space,13.33,"Is the following machinery/equipment, where applicable, in good order and well maintained? (V)"
Machinery Space,13.34,"Is the pipe work in the machinery space, including but not limited to steam, fuel, lubricating oil, sewage, drain and air lines well maintained, in good condition and free of any temporary repair? (V)"
Machinery Space,13.35,Are engineers familiar with operation of the main engine from the local manoeuvring control position? (V)
Machinery Space,13.36,Are crew familiar with the starting procedure for the emergency generator and how to put power on the emergency switch board? (V)
Machinery Space,13.37,"If the starting source of the emergency generator relies on a single starter motor, has a spare starter motor been provided? (V)"
Machinery Space,13.38,"If an emergency generator is not fitted, are engine room emergency batteries in good order, fully charged and capable of supplying the designed power load up to a minimum 18 hours? (V)"
Machinery Space,13.39,Is the earth fault monitoring equipment of the main and emergency switchboards operational and are they free of faults? (V)
Machinery Space,13.40,Is the emergency steering gear drill being carried out every three months? (V)
Machinery Space,13.41,Is the emergency reserve tank of the steering gear system fully charged? (V)
Machinery Space,13.42,Is a heading indicator and communication system provided in the steering gear room and are they in good order? (V)
Machinery Space,13.43,Is the emergency steering position rudder angle indicator in good order and clearly marked in red and green? (V)
Machinery Space,13.44,Is the steering gear compartment clear of obstructions and loos equipment properly secured? (V)
Machinery Space,13.45,"Are suitable handrails, gratings or other non-slip surfaces provided for the steering gear compartment? (V)"
General Appearance - Hull and Superstructure,14.1,"Is the ship’s hull clean, free of significant corrosion, extensive coating breakdown and marine growth? (V)"
General Appearance - Hull and Superstructure,14.2,"Are the following permanent markings on the ship’s hull, where applicable, plainly visible and painted in a contrasting colour? (V)"
General Appearance - Hull and Superstructure,14.3,Are the weather decks free of loose rust scale and maintained in a satisfactory condition? (V)
General Appearance - Hull and Superstructure,14.4,"Are the pipes on deck free of significant corrosion, pitting, soft patches or temporary repair and maintained in good condition? (V)"
General Appearance - Hull and Superstructure,14.5,"Are all the watertight doors, weathertight doors, portholes, and wheelhouse windows maintained in good order? (V)"
General Appearance - Hull and Superstructure,14.6,Are the vents and air pipes on weather decks maintained in good order and are they clearly marked to indicate the compartment they serve? (V)
General Appearance - Hull and Superstructure,14.7,Is the cosmetic appearance of the superstructure satisfactory? (V)
General Appearance - Hull and Superstructure,14.8,Are the hatch numbers clearly indicated and correctly placed? (V)
General Appearance - Hull and Superstructure,14.9,"Are the deck lights, emergency lights and hold lights (where fitted) in good order? (V)"
General Appearance - Hull and Superstructure,14.10,Are portable and fixed cargo lights used for illumination of cargo holds inspected regularly and maintained in good condition? (V)
General Appearance - Hull and Superstructure,14.11,"Is the condition of electrical equipment including switches, sockets, junction boxes, plugs, conduits and wiring on weather decks satisfactory? (V)"
General Appearance - Hull and Superstructure,14.12,"Are the explosion-proof lights in paint lockers, acetylene stores or similar spaces in good condition? (V)"
General Appearance - Hull and Superstructure,14.13,Are the stores located inside the accommodation and on the weather decks clean and tidy? (V)
General Appearance - Hull and Superstructure,14.14,Are dryers inside the laundries clear of any build-up of lint? (V)
General Appearance - Hull and Superstructure,14.15,"Are galley appliances, audio-visual equipment, and other electrical equipment inside the accommodation in good order? (V)"
General Appearance - Hull and Superstructure,14.16,"Are the door seals, catches and alarm system of the refrigerated space in good order? (V)"
General Appearance - Hull and Superstructure,14.17,"Is the elevator, where fitted, inspected, tested and in good order? (V)"
